Options:
Model:                           Continuous: Random Walk
Tree File Name:                  nextstrain_groups_blab_sars-like-cov_tree_v3.nex
Data File Name:                  surya_BayesTraits_data_path_lengths.txt
Log File Name:                   surya_BayesTraits_data_path_lengths.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1355740037
Precision:                       64 bits
Cores:                           4
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   surya_BayesTraits_data_path_lengths.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          0.000001
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Restrictions:
    alpha-1                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       32
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1 	Lambda	
1001000	69.263923	1	0.158418440929	0.005082027644	0.000001000000	
1002000	68.503680	1	0.161742152965	0.005329329796	0.000001000000	
1003000	69.384438	1	0.151420486473	0.005043892654	0.000001000000	
1004000	68.852285	1	0.148588091798	0.005214471268	0.000001000000	
1005000	69.557001	1	0.153304934411	0.004989785713	0.000001000000	
1006000	69.576072	1	0.155264152120	0.004983841489	0.000001000000	
1007000	68.781485	1	0.160720445990	0.005237596433	0.000001000000	
1008000	69.450342	1	0.157051620558	0.005023159555	0.000001000000	
1009000	69.447733	1	0.151947584498	0.005023978677	0.000001000000	
1010000	69.586521	1	0.154230014186	0.004980587882	0.000001000000	
1011000	69.576810	1	0.153782265098	0.004983611908	0.000001000000	
1012000	69.395653	1	0.157515954338	0.005040358536	0.000001000000	
1013000	69.588035	1	0.154417907400	0.004980116776	0.000001000000	
1014000	69.550695	1	0.153188553740	0.004991752596	0.000001000000	
1015000	68.809453	1	0.148414042552	0.005228449044	0.000001000000	
1016000	69.456425	1	0.152028503158	0.005021250227	0.000001000000	
1017000	69.584888	1	0.154117410096	0.004981096271	0.000001000000	
1018000	69.408284	1	0.157415173964	0.005036380844	0.000001000000	
1019000	68.073092	1	0.163116277513	0.005474698771	0.000001000000	
1020000	69.585465	1	0.154870086863	0.004980916604	0.000001000000	
1021000	69.249349	1	0.158506175237	0.005086658858	0.000001000000	
1022000	69.588042	1	0.154419686217	0.004980114570	0.000001000000	
1023000	69.153060	1	0.149978133922	0.005117362795	0.000001000000	
1024000	69.353183	1	0.157832963212	0.005053755344	0.000001000000	
1025000	69.588012	1	0.154412428863	0.004980123836	0.000001000000	
1026000	69.578716	1	0.153845968004	0.004983018226	0.000001000000	
1027000	69.583944	1	0.154958147874	0.004981390198	0.000001000000	
1028000	69.566825	1	0.153512819553	0.004986722711	0.000001000000	
1029000	69.572618	1	0.153658736433	0.004984917652	0.000001000000	
1030000	68.856976	1	0.160415789424	0.005212942595	0.000001000000	
1031000	69.254994	1	0.158472412790	0.005084864472	0.000001000000	
1032000	69.505574	1	0.156476453427	0.005005849595	0.000001000000	
1033000	68.521118	1	0.161681812993	0.005323524667	0.000001000000	
1034000	69.318254	1	0.150950074461	0.005064799867	0.000001000000	
