Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.247612	
1000	0.254000	0.061519	1000	0.254000	0.254000	0.247619	
1000	0.259000	0.061519	1000	0.259000	0.259000	0.247630	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.247638	
1000	0.241000	0.061519	1000	0.241000	0.241000	0.247632	
1000	0.259000	0.061519	1000	0.259000	0.259000	0.247643	
1000	0.271000	0.061519	1000	0.271000	0.271000	0.247666	
1000	0.271000	0.061519	1000	0.271000	0.271000	0.247689	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.247709	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.247733	
1000	0.270000	0.061519	1000	0.270000	0.270000	0.247755	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.247779	
1000	0.293000	0.061519	1000	0.293000	0.293000	0.247824	
1000	0.271000	0.061519	1000	0.271000	0.271000	0.247847	
1000	0.268000	0.061519	1000	0.268000	0.268000	0.247867	
1000	0.279000	0.061519	1000	0.279000	0.279000	0.247897	
1000	0.253000	0.061519	1000	0.253000	0.253000	0.247902	
1000	0.278000	0.061519	1000	0.278000	0.278000	0.247932	
1000	0.279000	0.061519	1000	0.279000	0.279000	0.247962	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.247980	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.247989	
1000	0.250000	0.061519	1000	0.250000	0.250000	0.247991	
1000	0.251000	0.061519	1000	0.251000	0.251000	0.247994	
1000	0.255000	0.061519	1000	0.255000	0.255000	0.248001	
1000	0.253000	0.061519	1000	0.253000	0.253000	0.248006	
1000	0.269000	0.061519	1000	0.269000	0.269000	0.248026	
1000	0.277000	0.061519	1000	0.277000	0.277000	0.248054	
1000	0.261000	0.061519	1000	0.261000	0.261000	0.248067	
1000	0.243000	0.061519	1000	0.243000	0.243000	0.248062	
1000	0.231000	0.061519	1000	0.231000	0.231000	0.248045	
1000	0.236000	0.061519	1000	0.236000	0.236000	0.248034	
1000	0.278000	0.061519	1000	0.278000	0.278000	0.248063	
1000	0.279000	0.061519	1000	0.279000	0.279000	0.248093	
1000	0.267000	0.061519	1000	0.267000	0.267000	0.248111	
1000	0.270000	0.061519	1000	0.270000	0.270000	0.248132	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.248141	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.248164	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.248177	
1000	0.272000	0.061519	1000	0.272000	0.272000	0.248200	
1000	0.276000	0.061519	1000	0.276000	0.276000	0.248227	
1000	0.256000	0.061519	1000	0.256000	0.256000	0.248234	
1000	0.235000	0.061519	1000	0.235000	0.235000	0.248221	
1000	0.279000	0.061519	1000	0.279000	0.279000	0.248251	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.248264	
1000	0.277000	0.061519	1000	0.277000	0.277000	0.248292	
1000	0.278000	0.061519	1000	0.278000	0.278000	0.248320	
1000	0.266000	0.061519	1000	0.266000	0.266000	0.248337	
1000	0.251000	0.061519	1000	0.251000	0.251000	0.248339	
1000	0.260000	0.061519	1000	0.260000	0.260000	0.248351	
1000	0.271000	0.061519	1000	0.271000	0.271000	0.248372	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.248381	
1000	0.282000	0.061519	1000	0.282000	0.282000	0.248413	
1000	0.263000	0.061519	1000	0.263000	0.263000	0.248427	
1000	0.279000	0.061519	1000	0.279000	0.279000	0.248456	
1000	0.257000	0.061519	1000	0.257000	0.257000	0.248464	
1000	0.243000	0.061519	1000	0.243000	0.243000	0.248459	
1000	0.244000	0.061519	1000	0.244000	0.244000	0.248455	
1000	0.264000	0.061519	1000	0.264000	0.264000	0.248470	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.248479	
1000	0.284000	0.061519	1000	0.284000	0.284000	0.248512	
1000	0.241000	0.061519	1000	0.241000	0.241000	0.248505	
1000	0.258000	0.061519	1000	0.258000	0.258000	0.248514	
1000	0.265000	0.061519	1000	0.265000	0.265000	0.248529	
1000	0.262000	0.061519	1000	0.262000	0.262000	0.248542	
1000	0.275000	0.061519	1000	0.275000	0.275000	0.248567	
1000	0.286000	0.061519	1000	0.286000	0.286000	0.248602	
