Options:
Model:                           Continuous: Random Walk
Tree File Name:                  nextstrain_groups_blab_sars-like-cov_tree_v3.nex
Data File Name:                  surya_BayesTraits_data_path_lengths.txt
Log File Name:                   surya_BayesTraits_data_path_lengths.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1478161769
Precision:                       64 bits
Cores:                           4
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   surya_BayesTraits_data_path_lengths.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          1.000000
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Restrictions:
    alpha-1                      None
Prior Information:
    Priors
        alpha-1 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       32
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1 	Lambda	
1001000	119.450069	1	0.145857885125	0.002357398455	1.000000000000	
1002000	119.432077	1	0.149237531742	0.002360050854	1.000000000000	
1003000	118.945971	1	0.157459127551	0.002432853276	1.000000000000	
1004000	119.446714	1	0.145577219458	0.002357892825	1.000000000000	
1005000	119.453918	1	0.147656050580	0.002356831466	1.000000000000	
1006000	119.119145	1	0.138493154547	0.002406663557	1.000000000000	
1007000	117.057353	1	0.123576178378	0.002737659627	1.000000000000	
1008000	119.401302	1	0.143575970888	0.002364594593	1.000000000000	
1009000	118.168495	1	0.163832225010	0.002553990400	1.000000000000	
1010000	119.365307	1	0.151373105068	0.002369920160	1.000000000000	
1011000	119.451607	1	0.146013325354	0.002357171816	1.000000000000	
1012000	119.429784	1	0.144624305009	0.002360389020	1.000000000000	
1013000	117.840661	1	0.165954080847	0.002606860564	1.000000000000	
1014000	119.385372	1	0.143110869415	0.002366950085	1.000000000000	
1015000	118.222478	1	0.130506059535	0.002545387942	1.000000000000	
1016000	119.437420	1	0.144996808991	0.002359262832	1.000000000000	
1017000	119.416358	1	0.149884426976	0.002362370498	1.000000000000	
1018000	119.275056	1	0.140775624746	0.002383325945	1.000000000000	
1019000	115.376454	1	0.178350057207	0.003040918428	1.000000000000	
1020000	118.600662	1	0.133344124391	0.002485929344	1.000000000000	
1021000	119.362149	1	0.142518166707	0.002370387946	1.000000000000	
1022000	119.244168	1	0.153703686551	0.002387931336	1.000000000000	
1023000	118.051084	1	0.164616446605	0.002572801086	1.000000000000	
1024000	118.863469	1	0.135678004840	0.002445430391	1.000000000000	
1025000	119.421837	1	0.144290614836	0.002361561788	1.000000000000	
1026000	118.913697	1	0.157790935541	0.002437765711	1.000000000000	
1027000	118.689151	1	0.159880350046	0.002472218769	1.000000000000	
1028000	119.178777	1	0.154678910291	0.002397710701	1.000000000000	
1029000	118.717801	1	0.134335760408	0.002467795956	1.000000000000	
1030000	119.155812	1	0.138973086476	0.002401154600	1.000000000000	
1031000	119.454563	1	0.147545306713	0.002356736391	1.000000000000	
1032000	118.269851	1	0.130837657448	0.002537862665	1.000000000000	
1033000	118.748068	1	0.134603643679	0.002463132062	1.000000000000	
1034000	118.404467	1	0.131813712322	0.002516599958	1.000000000000	
1035000	119.438491	1	0.145054764027	0.002359104972	1.000000000000	
1036000	119.455245	1	0.146569838404	0.002356636010	1.000000000000	
1037000	119.314433	1	0.152471542434	0.002377467600	1.000000000000	
1038000	119.396082	1	0.150550266549	0.002365366106	1.000000000000	
1039000	119.162722	1	0.154900548498	0.002400117780	1.000000000000	
1040000	118.852057	1	0.135567614533	0.002447175209	1.000000000000	
1041000	118.165426	1	0.130114096707	0.002554480428	1.000000000000	
1042000	119.274299	1	0.153204621580	0.002383438627	1.000000000000	
1043000	118.309892	1	0.162844664497	0.002531519515	1.000000000000	
1044000	118.938823	1	0.157533457627	0.002433940424	1.000000000000	
1045000	119.238628	1	0.140175646010	0.002388758345	1.000000000000	
1046000	119.325348	1	0.152254930811	0.002375846371	1.000000000000	
1047000	119.355731	1	0.142367614206	0.002371339038	1.000000000000	
1048000	119.091758	1	0.138151003651	0.002410786643	1.000000000000	
1049000	119.452616	1	0.146130539837	0.002357023143	1.000000000000	
1050000	119.210923	1	0.154215446964	0.002392898184	1.000000000000	
1051000	118.802779	1	0.135101838067	0.002454723905	1.000000000000	
1052000	119.346336	1	0.142155596227	0.002372731903	1.000000000000	
1053000	119.429268	1	0.144601231457	0.002360465128	1.000000000000	
1054000	119.405140	1	0.150269431803	0.002364027418	1.000000000000	
1055000	118.440788	1	0.132086536850	0.002510893676	1.000000000000	
1056000	119.453154	1	0.146200103225	0.002356943948	1.000000000000	
