Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.331000	0.109168	1000	0.331000	0.331000	0.308165	
1000	0.287000	0.109168	1000	0.287000	0.287000	0.308143	
1000	0.300000	0.109168	1000	0.300000	0.300000	0.308135	
1000	0.307000	0.109168	1000	0.307000	0.307000	0.308134	
1000	0.286000	0.109168	1000	0.286000	0.286000	0.308112	
1000	0.300000	0.109168	1000	0.300000	0.300000	0.308104	
1000	0.305000	0.109168	1000	0.305000	0.305000	0.308101	
1000	0.332000	0.109168	1000	0.332000	0.332000	0.308125	
1000	0.324000	0.109168	1000	0.324000	0.324000	0.308140	
1000	0.336000	0.109168	1000	0.336000	0.336000	0.308168	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308183	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308192	
1000	0.301000	0.109168	1000	0.301000	0.301000	0.308185	
1000	0.341000	0.109168	1000	0.341000	0.341000	0.308218	
1000	0.317000	0.109168	1000	0.317000	0.317000	0.308226	
1000	0.322000	0.109168	1000	0.322000	0.322000	0.308240	
1000	0.302000	0.109168	1000	0.302000	0.302000	0.308234	
1000	0.313000	0.109168	1000	0.313000	0.313000	0.308238	
1000	0.307000	0.109168	1000	0.307000	0.307000	0.308237	
1000	0.310000	0.109168	1000	0.310000	0.310000	0.308239	
1000	0.313000	0.109168	1000	0.313000	0.313000	0.308244	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308258	
1000	0.292000	0.109168	1000	0.292000	0.292000	0.308242	
1000	0.320000	0.109168	1000	0.320000	0.320000	0.308254	
1000	0.327000	0.109168	1000	0.327000	0.327000	0.308272	
1000	0.284000	0.109168	1000	0.284000	0.284000	0.308248	
1000	0.324000	0.109168	1000	0.324000	0.324000	0.308264	
1000	0.316000	0.109168	1000	0.316000	0.316000	0.308271	
1000	0.299000	0.109168	1000	0.299000	0.299000	0.308262	
1000	0.324000	0.109168	1000	0.324000	0.324000	0.308277	
1000	0.339000	0.109168	1000	0.339000	0.339000	0.308307	
1000	0.325000	0.109168	1000	0.325000	0.325000	0.308323	
1000	0.320000	0.109168	1000	0.320000	0.320000	0.308335	
1000	0.332000	0.109168	1000	0.332000	0.332000	0.308358	
1000	0.333000	0.109168	1000	0.333000	0.333000	0.308381	
1000	0.324000	0.109168	1000	0.324000	0.324000	0.308396	
1000	0.348000	0.109168	1000	0.348000	0.348000	0.308435	
1000	0.331000	0.109168	1000	0.331000	0.331000	0.308456	
1000	0.327000	0.109168	1000	0.327000	0.327000	0.308474	
1000	0.305000	0.109168	1000	0.305000	0.305000	0.308471	
1000	0.292000	0.109168	1000	0.292000	0.292000	0.308455	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308464	
1000	0.336000	0.109168	1000	0.336000	0.336000	0.308491	
1000	0.305000	0.109168	1000	0.305000	0.305000	0.308487	
1000	0.317000	0.109168	1000	0.317000	0.317000	0.308495	
1000	0.296000	0.109168	1000	0.296000	0.296000	0.308483	
1000	0.297000	0.109168	1000	0.297000	0.297000	0.308472	
1000	0.336000	0.109168	1000	0.336000	0.336000	0.308499	
1000	0.303000	0.109168	1000	0.303000	0.303000	0.308494	
1000	0.306000	0.109168	1000	0.306000	0.306000	0.308491	
1000	0.311000	0.109168	1000	0.311000	0.311000	0.308494	
1000	0.316000	0.109168	1000	0.316000	0.316000	0.308501	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308514	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308523	
1000	0.297000	0.109168	1000	0.297000	0.297000	0.308513	
1000	0.288000	0.109168	1000	0.288000	0.288000	0.308493	
1000	0.294000	0.109168	1000	0.294000	0.294000	0.308479	
1000	0.317000	0.109168	1000	0.317000	0.317000	0.308487	
1000	0.308000	0.109168	1000	0.308000	0.308000	0.308487	
1000	0.299000	0.109168	1000	0.299000	0.299000	0.308478	
1000	0.319000	0.109168	1000	0.319000	0.319000	0.308488	
1000	0.310000	0.109168	1000	0.310000	0.310000	0.308489	
1000	0.317000	0.109168	1000	0.317000	0.317000	0.308497	
1000	0.303000	0.109168	1000	0.303000	0.303000	0.308492	
1000	0.299000	0.109168	1000	0.299000	0.299000	0.308483	
1000	0.316000	0.109168	1000	0.316000	0.316000	0.308490	
1000	0.304000	0.109168	1000	0.304000	0.304000	0.308486	
1000	0.333000	0.109168	1000	0.333000	0.333000	0.308509	
1000	0.318000	0.109168	1000	0.318000	0.318000	0.308518	
1000	0.306000	0.109168	1000	0.306000	0.306000	0.308516	
1000	0.323000	0.109168	1000	0.323000	0.323000	0.308529	
1000	0.309000	0.109168	1000	0.309000	0.309000	0.308530	
1000	0.304000	0.109168	1000	0.304000	0.304000	0.308525	
1000	0.334000	0.109168	1000	0.334000	0.334000	0.308549	
1000	0.298000	0.109168	1000	0.298000	0.298000	0.308539	
1000	0.308000	0.109168	1000	0.308000	0.308000	0.308539	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308542	
1000	0.304000	0.109168	1000	0.304000	0.304000	0.308538	
1000	0.313000	0.109168	1000	0.313000	0.313000	0.308542	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308545	
1000	0.370000	0.109168	1000	0.370000	0.370000	0.308602	
1000	0.328000	0.109168	1000	0.328000	0.328000	0.308620	
1000	0.302000	0.109168	1000	0.302000	0.302000	0.308614	
1000	0.306000	0.109168	1000	0.306000	0.306000	0.308611	
1000	0.338000	0.109168	1000	0.338000	0.338000	0.308638	
1000	0.330000	0.109168	1000	0.330000	0.330000	0.308658	
1000	0.313000	0.109168	1000	0.313000	0.313000	0.308662	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308665	
1000	0.312000	0.109168	1000	0.312000	0.312000	0.308668	
1000	0.332000	0.109168	1000	0.332000	0.332000	0.308690	
1000	0.320000	0.109168	1000	0.320000	0.320000	0.308700	
1000	0.311000	0.109168	1000	0.311000	0.311000	0.308702	
1000	0.311000	0.109168	1000	0.311000	0.311000	0.308704	
1000	0.328000	0.109168	1000	0.328000	0.328000	0.308722	
1000	0.305000	0.109168	1000	0.305000	0.305000	0.308718	
