Rate	100.00
Rate Tried	% Accepted	Alpha Trait 1 - Dev	Alpha Trait 1 - Tried	Alpha Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.273000	0.118739	1000	0.273000	0.273000	0.254481	
1000	0.255000	0.118739	1000	0.255000	0.255000	0.254482	
1000	0.238000	0.118739	1000	0.238000	0.238000	0.254465	
1000	0.248000	0.118739	1000	0.248000	0.248000	0.254459	
1000	0.261000	0.118739	1000	0.261000	0.261000	0.254465	
1000	0.262000	0.118739	1000	0.262000	0.262000	0.254473	
1000	0.238000	0.118739	1000	0.238000	0.238000	0.254457	
1000	0.238000	0.118739	1000	0.238000	0.238000	0.254440	
1000	0.246000	0.118739	1000	0.246000	0.246000	0.254432	
1000	0.231000	0.118739	1000	0.231000	0.231000	0.254409	
1000	0.262000	0.118739	1000	0.262000	0.262000	0.254416	
1000	0.226000	0.118739	1000	0.226000	0.226000	0.254388	
1000	0.259000	0.118739	1000	0.259000	0.259000	0.254393	
1000	0.236000	0.118739	1000	0.236000	0.236000	0.254375	
1000	0.218000	0.118739	1000	0.218000	0.218000	0.254339	
1000	0.271000	0.118739	1000	0.271000	0.271000	0.254355	
1000	0.258000	0.118739	1000	0.258000	0.258000	0.254359	
1000	0.226000	0.118739	1000	0.226000	0.226000	0.254331	
1000	0.277000	0.118739	1000	0.277000	0.277000	0.254353	
1000	0.261000	0.118739	1000	0.261000	0.261000	0.254360	
1000	0.260000	0.118739	1000	0.260000	0.260000	0.254365	
1000	0.252000	0.118739	1000	0.252000	0.252000	0.254363	
1000	0.242000	0.118739	1000	0.242000	0.242000	0.254351	
1000	0.237000	0.118739	1000	0.237000	0.237000	0.254334	
1000	0.283000	0.118739	1000	0.283000	0.283000	0.254362	
1000	0.245000	0.118739	1000	0.245000	0.245000	0.254353	
1000	0.231000	0.118739	1000	0.231000	0.231000	0.254330	
1000	0.245000	0.118739	1000	0.245000	0.245000	0.254321	
1000	0.231000	0.118739	1000	0.231000	0.231000	0.254298	
1000	0.262000	0.118739	1000	0.262000	0.262000	0.254306	
1000	0.262000	0.118739	1000	0.262000	0.262000	0.254313	
1000	0.236000	0.118739	1000	0.236000	0.236000	0.254295	
