Steppingstone sampler:
        No Stones:                  100
        Start It:                   11000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	2.601433	2.601433
1	0.950747	7500	2.561642	5.163075
2	0.926679	7500	2.522090	7.685165
3	0.902980	7500	2.483886	10.169051
4	0.879648	7500	2.444639	12.613689
5	0.856682	7500	2.406365	15.020055
6	0.834079	7500	2.367478	17.387533
7	0.811838	7500	2.330202	19.717735
8	0.789957	7500	2.290735	22.008470
9	0.768433	7500	2.253805	24.262274
10	0.747266	7500	2.216547	26.478821
11	0.726452	7500	2.178480	28.657301
12	0.705989	7500	2.140899	30.798200
13	0.685877	7500	2.102874	32.901073
14	0.666112	7500	2.066806	34.967880
15	0.646693	7500	2.030246	36.998126
16	0.627618	7500	1.993701	38.991827
17	0.608884	7500	1.957466	40.949293
18	0.590490	7500	1.921844	42.871137
19	0.572433	7500	1.885359	44.756496
20	0.554712	7500	1.850445	46.606941
21	0.537324	7500	1.816102	48.423042
22	0.520268	7500	1.778888	50.201930
23	0.503540	7500	1.744381	51.946311
24	0.487139	7500	1.709190	53.655500
25	0.471063	7500	1.674173	55.329673
26	0.455310	7500	1.640113	56.969786
27	0.439877	7500	1.606634	58.576421
28	0.424762	7500	1.572298	60.148719
29	0.409963	7500	1.539245	61.687964
30	0.395478	7500	1.506078	63.194042
31	0.381305	7500	1.473896	64.667938
32	0.367440	7500	1.438932	66.106869
33	0.353883	7500	1.406475	67.513344
34	0.340630	7500	1.373129	68.886473
35	0.327680	7500	1.341828	70.228300
36	0.315030	7500	1.310564	71.538864
37	0.302677	7500	1.277661	72.816525
38	0.290619	7500	1.245321	74.061846
39	0.278855	7500	1.214727	75.276573
40	0.267381	7500	1.182894	76.459467
41	0.256195	7500	1.152028	77.611496
42	0.245294	7500	1.120129	78.731625
43	0.234677	7500	1.089885	79.821510
44	0.224340	7500	1.060737	80.882248
45	0.214281	7500	1.030704	81.912951
46	0.204498	7500	0.999216	82.912167
47	0.194988	7500	0.970368	83.882535
48	0.185749	7500	0.940683	84.823218
49	0.176777	7500	0.908016	85.731234
50	0.168070	7500	0.878268	86.609502
51	0.159626	7500	0.850384	87.459886
52	0.151441	7500	0.822867	88.282753
53	0.143514	7500	0.794276	89.077030
54	0.135841	7500	0.762957	89.839986
55	0.128420	7500	0.736572	90.576558
56	0.121247	7500	0.710479	91.287037
57	0.114320	7500	0.681477	91.968514
58	0.107637	7500	0.645864	92.614378
59	0.101193	7500	0.619452	93.233830
60	0.094986	7500	0.592305	93.826135
61	0.089014	7500	0.563344	94.389479
62	0.083273	7500	0.523160	94.912639
63	0.077760	7500	0.509338	95.421976
64	0.072472	7500	0.437047	95.859024
65	0.067406	7500	0.437654	96.296677
66	0.062558	7500	0.394228	96.690905
67	0.057926	7500	0.345913	97.036819
68	0.053506	7500	0.289278	97.326096
69	0.049295	7500	0.273931	97.600027
70	0.045289	7500	0.181153	97.781180
71	0.041485	7500	0.146513	97.927693
72	0.037880	7500	0.103963	98.031656
73	0.034469	7500	-0.001464	98.030193
74	0.031250	7500	-0.034036	97.996156
75	0.028218	7500	-0.074343	97.921814
76	0.025370	7500	-0.102652	97.819161
77	0.022702	7500	-0.112428	97.706734
78	0.020209	7500	-0.110093	97.596640
79	0.017889	7500	-0.122892	97.473748
80	0.015736	7500	-0.133769	97.339980
81	0.013746	7500	-0.127076	97.212903
82	0.011916	7500	-0.125759	97.087145
83	0.010240	7500	-0.118200	96.968944
84	0.008714	7500	-0.102616	96.866328
85	0.007334	7500	-0.102262	96.764067
86	0.006093	7500	-0.092631	96.671435
87	0.004988	7500	-0.084762	96.586674
88	0.004013	7500	-0.074678	96.511996
89	0.003162	7500	-0.066602	96.445394
90	0.002430	7500	-0.058910	96.386484
91	0.001810	7500	-0.049584	96.336900
92	0.001296	7500	-0.041471	96.295429
93	0.000882	7500	-0.033396	96.262033
94	0.000559	7500	-0.025909	96.236124
95	0.000320	7500	-0.019342	96.216782
96	0.000156	7500	-0.013318	96.203464
97	0.000057	7500	-0.008018	96.195446
98	0.000010	7500	-0.003776	96.191670
99	0.000000	7500	-0.000800	96.190870
Log marginal likelihood:	96.190870
