Iteration	Lh	Tree No	Alpha 1	Sigma^2 1 	Lambda	
1001000	105.372503	1	0.143758517102	0.001746008858	1.000000000000	
1002000	105.357549	1	0.142378718317	0.001747874782	1.000000000000	
1003000	104.824204	1	0.153304242149	0.001815746600	1.000000000000	
1004000	105.275904	1	0.140012673255	0.001758097805	1.000000000000	
1005000	104.557599	1	0.132429221749	0.001850655602	1.000000000000	
1006000	105.344862	1	0.146014961609	0.001749459497	1.000000000000	
1007000	105.116549	1	0.137543877332	0.001778223695	1.000000000000	
1008000	105.284978	1	0.140201061157	0.001756958734	1.000000000000	
1009000	105.371555	1	0.144341132079	0.001746127015	1.000000000000	
1010000	105.162165	1	0.138144397309	0.001772439109	1.000000000000	
1011000	105.370042	1	0.143278466735	0.001746315757	1.000000000000	
1012000	104.200091	1	0.130047968541	0.001898523070	1.000000000000	
1013000	104.857968	1	0.134838382388	0.001811372750	1.000000000000	
1014000	104.471267	1	0.131817053455	0.001862103075	1.000000000000	
1015000	105.268021	1	0.147987735350	0.001759088004	1.000000000000	
1016000	104.762271	1	0.134012898462	0.001823796801	1.000000000000	
1017000	103.437348	1	0.161994787133	0.002004827171	1.000000000000	
1018000	103.627213	1	0.126817706665	0.001977821671	1.000000000000	
1019000	104.037593	1	0.158769574134	0.001920687606	1.000000000000	
1020000	105.357941	1	0.142398849385	0.001747825867	1.000000000000	
1021000	105.149092	1	0.149877426639	0.001774095022	1.000000000000	
1022000	104.438354	1	0.156253005695	0.001866485828	1.000000000000	
1023000	104.487157	1	0.155916065475	0.001859990733	1.000000000000	
1024000	104.366216	1	0.131106843322	0.001876128165	1.000000000000	
1025000	105.370774	1	0.144468442645	0.001746224457	1.000000000000	
1026000	105.026469	1	0.136494657167	0.001789702134	1.000000000000	
1027000	105.209369	1	0.138837517782	0.001766473089	1.000000000000	
1028000	104.551740	1	0.132386773217	0.001851430220	1.000000000000	
1029000	104.744866	1	0.133869470247	0.001826065612	1.000000000000	
1030000	103.691706	1	0.160687345643	0.001968731576	1.000000000000	
1031000	102.787610	1	0.122783984060	0.002100063752	1.000000000000	
1032000	104.121007	1	0.158276532096	0.001909277863	1.000000000000	
1033000	104.650337	1	0.154722889357	0.001838437018	1.000000000000	
1034000	105.319449	1	0.146818751022	0.001752637945	1.000000000000	
1035000	105.352446	1	0.145706639326	0.001748512012	1.000000000000	
1036000	104.597376	1	0.155122533695	0.001845404943	1.000000000000	
1037000	104.117088	1	0.158300009592	0.001909812432	1.000000000000	
1038000	103.870333	1	0.159720113199	0.001943771914	1.000000000000	
1039000	104.675193	1	0.154530682527	0.001835175978	1.000000000000	
1040000	105.354878	1	0.145595832764	0.001748208303	1.000000000000	
1041000	104.565243	1	0.132484815056	0.001849645432	1.000000000000	
1042000	102.900614	1	0.164549646345	0.002083180875	1.000000000000	
1043000	100.919411	1	0.115196887769	0.002399860163	1.000000000000	
1044000	105.044687	1	0.136695070009	0.001787374817	1.000000000000	
1045000	105.055294	1	0.151029481959	0.001786021053	1.000000000000	
1046000	104.817775	1	0.153360157396	0.001816580548	1.000000000000	
1047000	105.275213	1	0.147845044457	0.001758184635	1.000000000000	
1048000	105.282294	1	0.147699357579	0.001757295592	1.000000000000	
1049000	105.273063	1	0.139955504532	0.001758454595	1.000000000000	
1050000	104.980886	1	0.136014357459	0.001795538757	1.000000000000	
1051000	105.308692	1	0.140745062704	0.001753985205	1.000000000000	
1052000	104.793689	1	0.153567002695	0.001819708613	1.000000000000	
1053000	105.011527	1	0.136334036973	0.001791613308	1.000000000000	
1054000	105.361141	1	0.145269263056	0.001747426400	1.000000000000	
1055000	105.285739	1	0.140217310899	0.001756863116	1.000000000000	
1056000	105.296290	1	0.140450027049	0.001755539670	1.000000000000	
1057000	105.077956	1	0.150768244495	0.001783132318	1.000000000000	
1058000	105.336221	1	0.146318549931	0.001750539647	1.000000000000	
1059000	105.185495	1	0.138476218126	0.001769487964	1.000000000000	
1060000	102.946262	1	0.164341169176	0.002076399550	1.000000000000	
1061000	104.947189	1	0.152167404845	0.001799865776	1.000000000000	
1062000	105.305002	1	0.147189195083	0.001754447511	1.000000000000	
1063000	105.106712	1	0.137421403210	0.001779473613	1.000000000000	
1064000	104.291607	1	0.157221312192	0.001886153145	1.000000000000	
1065000	105.304919	1	0.147191214579	0.001754457972	1.000000000000	
1066000	105.022489	1	0.151392180786	0.001790211071	1.000000000000	
1067000	104.739452	1	0.154018489892	0.001826771872	1.000000000000	
1068000	105.223192	1	0.148785062974	0.001764729792	1.000000000000	
1069000	104.849700	1	0.153079374575	0.001812442846	1.000000000000	
1070000	104.920937	1	0.135421755809	0.001803243923	1.000000000000	
1071000	105.166627	1	0.138206404024	0.001771874376	1.000000000000	
1072000	105.368902	1	0.144692200117	0.001746457969	1.000000000000	
1073000	104.980563	1	0.136011052418	0.001795580187	1.000000000000	
1074000	104.998970	1	0.136201506012	0.001793221044	1.000000000000	
1075000	105.230723	1	0.139183394536	0.001763780742	1.000000000000	
1076000	105.004556	1	0.151583533240	0.001792505653	1.000000000000	
1077000	105.240830	1	0.148487702969	0.001762507896	1.000000000000	
1078000	104.430188	1	0.156308602292	0.001867574841	1.000000000000	
1079000	105.305383	1	0.140663775454	0.001754399717	1.000000000000	
1080000	104.336298	1	0.156932992533	0.001880141708	1.000000000000	
1081000	105.288396	1	0.140274517940	0.001756529826	1.000000000000	
1082000	105.345684	1	0.145983753033	0.001749356738	1.000000000000	
1083000	105.206156	1	0.149056279758	0.001766878545	1.000000000000	
1084000	104.530073	1	0.132230971526	0.001854297829	1.000000000000	
1085000	105.345389	1	0.145995006813	0.001749393615	1.000000000000	
1086000	104.084642	1	0.158493163165	0.001914243584	1.000000000000	
1087000	104.058563	1	0.158646902592	0.001917812795	1.000000000000	
1088000	104.517843	1	0.155699888439	0.001855918308	1.000000000000	
1089000	105.371432	1	0.143479983682	0.001746142446	1.000000000000	
1090000	105.324282	1	0.146683873788	0.001752033100	1.000000000000	
1091000	105.303403	1	0.147227666772	0.001754647906	1.000000000000	
1092000	104.983157	1	0.136037630208	0.001795247517	1.000000000000	
1093000	105.049823	1	0.151091183821	0.001786719136	1.000000000000	
1094000	104.841332	1	0.134689988620	0.001813526547	1.000000000000	
1095000	104.476323	1	0.155991575398	0.001861430672	1.000000000000	
1096000	104.964583	1	0.135849149747	0.001797630878	1.000000000000	
1097000	104.970692	1	0.135910673070	0.001796846718	1.000000000000	
1098000	104.809172	1	0.134409213512	0.001817697226	1.000000000000	
1099000	104.589180	1	0.132660481610	0.001846485639	1.000000000000	
1100000	105.300475	1	0.147297001652	0.001755014988	1.000000000000	
1101000	104.546384	1	0.155495643702	0.001852138716	1.000000000000	
1102000	105.205838	1	0.138782528266	0.001766918602	1.000000000000	
1103000	105.323069	1	0.141125403644	0.001752184850	1.000000000000	
1104000	105.245703	1	0.148402139247	0.001761894522	1.000000000000	
1105000	105.372175	1	0.143642024307	0.001746049771	1.000000000000	
1106000	104.782199	1	0.134179480796	0.001821202652	1.000000000000	
1107000	103.624503	1	0.161040142229	0.001978204622	1.000000000000	
1108000	103.783674	1	0.127648733035	0.001955841072	1.000000000000	
1109000	105.347856	1	0.145898975291	0.001749085389	1.000000000000	
1110000	105.371369	1	0.143468922707	0.001746150290	1.000000000000	
1111000	105.201768	1	0.138719840266	0.001767432333	1.000000000000	
1112000	105.258577	1	0.139675772431	0.001760275087	1.000000000000	
1113000	105.211174	1	0.138865865672	0.001766245292	1.000000000000	
1114000	105.207950	1	0.149028382030	0.001766652142	1.000000000000	
1115000	105.349487	1	0.142010898483	0.001748881586	1.000000000000	
1116000	105.330200	1	0.141334522480	0.001751292663	1.000000000000	
1117000	105.192477	1	0.138579414201	0.001768605734	1.000000000000	
1118000	104.591674	1	0.132678928751	0.001846156660	1.000000000000	
1119000	104.384304	1	0.131226674499	0.001873705699	1.000000000000	
1120000	104.961637	1	0.135819629273	0.001798009268	1.000000000000	
1121000	103.296714	1	0.125155610879	0.002025067784	1.000000000000	
1122000	104.157905	1	0.129789811107	0.001904252462	1.000000000000	
1123000	105.284445	1	0.147653984445	0.001757025576	1.000000000000	
1124000	104.828638	1	0.153265492949	0.001815171582	1.000000000000	
1125000	105.141148	1	0.149983168814	0.001775101984	1.000000000000	
1126000	105.340695	1	0.141677268944	0.001749980257	1.000000000000	
1127000	104.670963	1	0.154563613457	0.001835730538	1.000000000000	
1128000	105.199769	1	0.149154422228	0.001767684819	1.000000000000	
1129000	105.076790	1	0.150781917754	0.001783280833	1.000000000000	
1130000	105.370776	1	0.144468216776	0.001746224262	1.000000000000	
1131000	104.209201	1	0.157739477833	0.001897288010	1.000000000000	
1132000	100.538427	1	0.113777742764	0.002466064712	1.000000000000	
1133000	103.987683	1	0.128785468353	0.001927547067	1.000000000000	
1134000	105.284659	1	0.147649438616	0.001756998703	1.000000000000	
1135000	105.210144	1	0.148994050629	0.001766375220	1.000000000000	
1136000	104.687021	1	0.133405628263	0.001833626088	1.000000000000	
1137000	103.837315	1	0.159902364402	0.001948361578	1.000000000000	
1138000	104.247422	1	0.130342505625	0.001892115291	1.000000000000	
1139000	105.370547	1	0.143343465566	0.001746252825	1.000000000000	
1140000	105.372663	1	0.143884231988	0.001745988836	1.000000000000	
1141000	105.355638	1	0.142284040434	0.001748113443	1.000000000000	
1142000	105.075145	1	0.150801169840	0.001783490446	1.000000000000	
1143000	104.439975	1	0.131601781692	0.001866269786	1.000000000000	
1144000	105.372636	1	0.143997431214	0.001745992239	1.000000000000	
1145000	104.907274	1	0.152551675823	0.001805004604	1.000000000000	
1146000	105.370395	1	0.144520550575	0.001746271749	1.000000000000	
1147000	104.805387	1	0.153467058166	0.001818188713	1.000000000000	
1148000	105.346018	1	0.145970929948	0.001749314964	1.000000000000	
1149000	105.372446	1	0.144110732400	0.001746015981	1.000000000000	
1150000	105.372384	1	0.144134724418	0.001746023619	1.000000000000	
1151000	105.341758	1	0.141714948321	0.001749847339	1.000000000000	
1152000	105.363938	1	0.142749253500	0.001747077349	1.000000000000	
1153000	105.372377	1	0.143706381222	0.001746024509	1.000000000000	
1154000	104.950503	1	0.135708983887	0.001799439799	1.000000000000	
1155000	104.717660	1	0.133648939357	0.001829617674	1.000000000000	
1156000	105.082129	1	0.137124626125	0.001782600993	1.000000000000	
1157000	104.957219	1	0.135775562336	0.001798576683	1.000000000000	
1158000	104.446415	1	0.156197907779	0.001865411416	1.000000000000	
1159000	104.285168	1	0.130581316645	0.001887020791	1.000000000000	
1160000	105.039011	1	0.136632064162	0.001788099619	1.000000000000	
1161000	104.876365	1	0.152838588127	0.001808994065	1.000000000000	
1162000	105.357439	1	0.145470605942	0.001747888493	1.000000000000	
1163000	104.992523	1	0.136134299470	0.001794046965	1.000000000000	
1164000	104.867894	1	0.134927996796	0.001810088983	1.000000000000	
1165000	103.253209	1	0.124944890861	0.002031370366	1.000000000000	
1166000	105.140870	1	0.149986838536	0.001775137249	1.000000000000	
1167000	103.335407	1	0.125344479050	0.002019478591	1.000000000000	
1168000	104.851224	1	0.134777954516	0.001812245592	1.000000000000	
1169000	103.447641	1	0.125900454613	0.002003353723	1.000000000000	
1170000	104.783815	1	0.153650620847	0.001820992395	1.000000000000	
1171000	104.882167	1	0.135058332597	0.001808244581	1.000000000000	
1172000	105.248777	1	0.139496412185	0.001761507614	1.000000000000	
1173000	105.359633	1	0.142489012458	0.001747614671	1.000000000000	
1174000	101.563190	1	0.117672683835	0.002292003464	1.000000000000	
1175000	104.892895	1	0.152686237532	0.001806859413	1.000000000000	
1176000	103.562912	1	0.126485073991	0.001986926522	1.000000000000	
1177000	104.975721	1	0.135961659616	0.001796201402	1.000000000000	
1178000	105.186888	1	0.138496661706	0.001769311849	1.000000000000	
1179000	104.902302	1	0.152598430408	0.001805645820	1.000000000000	
1180000	104.554285	1	0.155438530603	0.001851093654	1.000000000000	
1181000	105.362255	1	0.142641238701	0.001747287338	1.000000000000	
1182000	104.849243	1	0.153083449755	0.001812502006	1.000000000000	
1183000	105.038899	1	0.136630832664	0.001788113849	1.000000000000	
1184000	105.250750	1	0.148311795589	0.001761259476	1.000000000000	
1185000	104.937376	1	0.152263409494	0.001801127708	1.000000000000	
1186000	105.315391	1	0.146927388495	0.001753146084	1.000000000000	
1187000	105.234751	1	0.139251449040	0.001763273320	1.000000000000	
1188000	103.252357	1	0.124940780073	0.002031494018	1.000000000000	
1189000	104.334927	1	0.130901812605	0.001880325777	1.000000000000	
1190000	103.488699	1	0.126107036362	0.001997487102	1.000000000000	
1191000	104.649666	1	0.154728041244	0.001838525232	1.000000000000	
1192000	104.794508	1	0.153560037525	0.001819602178	1.000000000000	
1193000	104.236271	1	0.157571096094	0.001893622980	1.000000000000	
1194000	104.965996	1	0.135863333409	0.001797449565	1.000000000000	
1195000	105.278990	1	0.147768004402	0.001757710313	1.000000000000	
1196000	104.813733	1	0.134448566615	0.001817105139	1.000000000000	
1197000	105.290453	1	0.140319441741	0.001756271734	1.000000000000	
1198000	104.653252	1	0.154700512510	0.001838054354	1.000000000000	
1199000	105.285236	1	0.140206556658	0.001756926350	1.000000000000	
1200000	105.270251	1	0.139899703769	0.001758807843	1.000000000000	
1201000	105.339143	1	0.146220339036	0.001750174234	1.000000000000	
1202000	105.333669	1	0.146401118248	0.001750858687	1.000000000000	
1203000	105.371901	1	0.144270173955	0.001746083854	1.000000000000	
1204000	103.168038	1	0.124537130140	0.002043766235	1.000000000000	
1205000	103.927634	1	0.128443950401	0.001935832432	1.000000000000	
1206000	105.239799	1	0.148505594699	0.001762637622	1.000000000000	
1207000	105.368720	1	0.143133105888	0.001746480730	1.000000000000	
1208000	105.234831	1	0.139252814539	0.001763263214	1.000000000000	
1209000	105.166205	1	0.138200514372	0.001771927755	1.000000000000	
1210000	105.080414	1	0.150739340613	0.001782819347	1.000000000000	
1211000	104.039999	1	0.158755536471	0.001920357424	1.000000000000	
