Rate	100.00
Rate Tried	% Accepted	Alpha - Dev	Alpha - Tried	Alpha - Accepted	Beta Trait 1 - Dev	Beta Trait 1 - Tried	Beta Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.302000	0.102821	516	0.298450	0.011031	484	0.305785	0.302000	0.302869	
1000	0.312000	0.102821	486	0.310700	0.011031	514	0.313230	0.312000	0.302878	
1000	0.345000	0.102821	491	0.307536	0.011031	509	0.381139	0.345000	0.302920	
1000	0.318000	0.102821	481	0.305613	0.011031	519	0.329480	0.318000	0.302935	
1000	0.306000	0.102821	502	0.280876	0.011031	498	0.331325	0.306000	0.302938	
1000	0.325000	0.102821	519	0.289017	0.011031	481	0.363825	0.325000	0.302960	
1000	0.318000	0.102821	508	0.330709	0.011031	492	0.304878	0.318000	0.302975	
1000	0.284000	0.102821	481	0.251559	0.011031	519	0.314066	0.284000	0.302956	
1000	0.325000	0.102821	516	0.294574	0.011031	484	0.357438	0.325000	0.302978	
1000	0.319000	0.102821	480	0.293750	0.011031	520	0.342308	0.319000	0.302994	
1000	0.315000	0.102821	477	0.276730	0.011031	523	0.349904	0.315000	0.303006	
1000	0.284000	0.102821	510	0.247059	0.011031	490	0.322449	0.284000	0.302987	
1000	0.321000	0.102821	511	0.293542	0.011031	489	0.349693	0.321000	0.303005	
1000	0.363000	0.102821	510	0.341176	0.011031	490	0.385714	0.363000	0.303064	
1000	0.298000	0.102821	508	0.291339	0.011031	492	0.304878	0.298000	0.303059	
1000	0.319000	0.102821	510	0.313725	0.011031	490	0.324490	0.319000	0.303075	
1000	0.302000	0.102821	507	0.276134	0.011031	493	0.328600	0.302000	0.303073	
1000	0.338000	0.102821	521	0.314779	0.011031	479	0.363257	0.338000	0.303108	
1000	0.331000	0.102821	457	0.319475	0.011031	543	0.340700	0.331000	0.303135	
1000	0.308000	0.102821	486	0.298354	0.011031	514	0.317121	0.308000	0.303140	
1000	0.279000	0.102821	509	0.292731	0.011031	491	0.264766	0.279000	0.303116	
1000	0.331000	0.102821	498	0.321285	0.011031	502	0.340637	0.331000	0.303144	
1000	0.306000	0.102821	464	0.275862	0.011031	536	0.332090	0.306000	0.303146	
1000	0.293000	0.102821	513	0.278752	0.011031	487	0.308008	0.293000	0.303136	
1000	0.336000	0.102821	514	0.356031	0.011031	486	0.314815	0.336000	0.303168	
1000	0.320000	0.102821	491	0.319756	0.011031	509	0.320236	0.320000	0.303185	
1000	0.317000	0.102821	505	0.279208	0.011031	495	0.355556	0.317000	0.303198	
1000	0.326000	0.102821	506	0.288538	0.011031	494	0.364372	0.326000	0.303221	
1000	0.303000	0.102821	516	0.296512	0.011031	484	0.309917	0.303000	0.303220	
1000	0.302000	0.102821	502	0.326693	0.011031	498	0.277108	0.302000	0.303219	
1000	0.279000	0.102821	496	0.252016	0.011031	504	0.305556	0.279000	0.303196	
1000	0.324000	0.102821	506	0.304348	0.011031	494	0.344130	0.324000	0.303216	
1000	0.308000	0.102821	460	0.284783	0.011031	540	0.327778	0.308000	0.303220	
1000	0.307000	0.102821	506	0.282609	0.011031	494	0.331984	0.307000	0.303224	
1000	0.297000	0.102821	505	0.271287	0.011031	495	0.323232	0.297000	0.303218	
1000	0.324000	0.102821	495	0.303030	0.011031	505	0.344554	0.324000	0.303238	
1000	0.341000	0.102821	513	0.346979	0.011031	487	0.334702	0.341000	0.303275	
1000	0.317000	0.102821	485	0.296907	0.011031	515	0.335922	0.317000	0.303288	
1000	0.323000	0.102821	502	0.300797	0.011031	498	0.345382	0.323000	0.303307	
1000	0.296000	0.102821	516	0.281008	0.011031	484	0.311983	0.296000	0.303300	
1000	0.318000	0.102821	499	0.276553	0.011031	501	0.359281	0.318000	0.303314	
1000	0.289000	0.102821	507	0.236686	0.011031	493	0.342799	0.289000	0.303300	
1000	0.286000	0.102821	507	0.264300	0.011031	493	0.308316	0.286000	0.303284	
1000	0.291000	0.102821	493	0.292089	0.011031	507	0.289941	0.291000	0.303272	
1000	0.321000	0.102821	489	0.267894	0.011031	511	0.371820	0.321000	0.303289	
1000	0.320000	0.102821	517	0.297872	0.011031	483	0.343685	0.320000	0.303305	
