Rate	100.00
Rate Tried	% Accepted	Alpha - Dev	Alpha - Tried	Alpha - Accepted	Beta Trait 1 - Dev	Beta Trait 1 - Tried	Beta Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.273000	0.055158	497	0.293763	0.009782	503	0.252485	0.273000	0.281129	
1000	0.290000	0.055158	503	0.318091	0.009782	497	0.261569	0.290000	0.281137	
1000	0.300000	0.055158	515	0.302913	0.009782	485	0.296907	0.300000	0.281156	
1000	0.272000	0.055158	513	0.280702	0.009782	487	0.262834	0.272000	0.281147	
1000	0.308000	0.055158	471	0.299363	0.009782	529	0.315690	0.308000	0.281174	
1000	0.283000	0.055158	495	0.274747	0.009782	505	0.291089	0.283000	0.281176	
1000	0.269000	0.055158	493	0.275862	0.009782	507	0.262327	0.269000	0.281164	
1000	0.307000	0.055158	503	0.302187	0.009782	497	0.311871	0.307000	0.281189	
1000	0.297000	0.055158	487	0.308008	0.009782	513	0.286550	0.297000	0.281205	
1000	0.290000	0.055158	488	0.295082	0.009782	512	0.285156	0.290000	0.281214	
1000	0.293000	0.055158	501	0.309381	0.009782	499	0.276553	0.293000	0.281225	
1000	0.282000	0.055158	506	0.280632	0.009782	494	0.283401	0.282000	0.281226	
1000	0.287000	0.055158	494	0.287449	0.009782	506	0.286561	0.287000	0.281232	
1000	0.288000	0.055158	520	0.296154	0.009782	480	0.279167	0.288000	0.281238	
1000	0.291000	0.055158	493	0.279919	0.009782	507	0.301775	0.291000	0.281248	
1000	0.300000	0.055158	507	0.311637	0.009782	493	0.288032	0.300000	0.281266	
1000	0.317000	0.055158	494	0.344130	0.009782	506	0.290514	0.317000	0.281302	
1000	0.281000	0.055158	505	0.279208	0.009782	495	0.282828	0.281000	0.281301	
1000	0.293000	0.055158	505	0.312871	0.009782	495	0.272727	0.293000	0.281313	
1000	0.303000	0.055158	516	0.323643	0.009782	484	0.280992	0.303000	0.281334	
1000	0.271000	0.055158	518	0.277992	0.009782	482	0.263485	0.271000	0.281324	
1000	0.299000	0.055158	489	0.290389	0.009782	511	0.307241	0.299000	0.281341	
1000	0.271000	0.055158	515	0.302913	0.009782	485	0.237113	0.271000	0.281331	
1000	0.288000	0.055158	478	0.303347	0.009782	522	0.273946	0.288000	0.281338	
1000	0.275000	0.055158	492	0.278455	0.009782	508	0.271654	0.275000	0.281331	
1000	0.284000	0.055158	481	0.286902	0.009782	519	0.281310	0.284000	0.281334	
1000	0.292000	0.055158	499	0.302605	0.009782	501	0.281437	0.292000	0.281344	
1000	0.288000	0.055158	504	0.297619	0.009782	496	0.278226	0.288000	0.281351	
1000	0.275000	0.055158	518	0.289575	0.009782	482	0.259336	0.275000	0.281345	
1000	0.287000	0.055158	464	0.306034	0.009782	536	0.270522	0.287000	0.281350	
1000	0.291000	0.055158	512	0.316406	0.009782	488	0.264344	0.291000	0.281360	
1000	0.294000	0.055158	492	0.310976	0.009782	508	0.277559	0.294000	0.281372	
1000	0.284000	0.055158	492	0.288618	0.009782	508	0.279528	0.284000	0.281374	
1000	0.300000	0.055158	536	0.277985	0.009782	464	0.325431	0.300000	0.281392	
1000	0.260000	0.055158	490	0.261224	0.009782	510	0.258824	0.260000	0.281372	
1000	0.279000	0.055158	478	0.305439	0.009782	522	0.254789	0.279000	0.281369	
1000	0.298000	0.055158	500	0.310000	0.009782	500	0.286000	0.298000	0.281385	
1000	0.255000	0.055158	506	0.254941	0.009782	494	0.255061	0.255000	0.281360	
1000	0.288000	0.055158	498	0.291165	0.009782	502	0.284861	0.288000	0.281366	
1000	0.278000	0.055158	498	0.295181	0.009782	502	0.260956	0.278000	0.281363	
1000	0.302000	0.055158	499	0.326653	0.009782	501	0.277445	0.302000	0.281383	
1000	0.280000	0.055158	509	0.288802	0.009782	491	0.270876	0.280000	0.281382	
1000	0.282000	0.055158	485	0.303093	0.009782	515	0.262136	0.282000	0.281382	
1000	0.265000	0.055158	503	0.272366	0.009782	497	0.257545	0.265000	0.281367	
1000	0.302000	0.055158	528	0.308712	0.009782	472	0.294492	0.302000	0.281386	
1000	0.260000	0.055158	507	0.285996	0.009782	493	0.233266	0.260000	0.281366	
1000	0.285000	0.055158	518	0.289575	0.009782	482	0.280083	0.285000	0.281369	
1000	0.254000	0.055158	498	0.255020	0.009782	502	0.252988	0.254000	0.281343	
1000	0.262000	0.055158	520	0.250000	0.009782	480	0.275000	0.262000	0.281325	
1000	0.272000	0.055158	487	0.262834	0.009782	513	0.280702	0.272000	0.281316	
1000	0.310000	0.055158	507	0.313609	0.009782	493	0.306288	0.310000	0.281343	
1000	0.291000	0.055158	523	0.286807	0.009782	477	0.295597	0.291000	0.281352	
1000	0.310000	0.055158	498	0.339357	0.009782	502	0.280876	0.310000	0.281380	
