Steppingstone sampler:
        No Stones:                  100
        Start It:                   11000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	1.708173	1.708173
1	0.950747	7500	1.679696	3.387869
2	0.926679	7500	1.653274	5.041143
3	0.902980	7500	1.623871	6.665014
4	0.879648	7500	1.602030	8.267044
5	0.856682	7500	1.574303	9.841348
6	0.834079	7500	1.551998	11.393346
7	0.811838	7500	1.519639	12.912984
8	0.789957	7500	1.499654	14.412638
9	0.768433	7500	1.474404	15.887042
10	0.747266	7500	1.445313	17.332355
11	0.726452	7500	1.424976	18.757332
12	0.705989	7500	1.397201	20.154532
13	0.685877	7500	1.371186	21.525718
14	0.666112	7500	1.347853	22.873571
15	0.646693	7500	1.319141	24.192712
16	0.627618	7500	1.301584	25.494296
17	0.608884	7500	1.277460	26.771756
18	0.590490	7500	1.252507	28.024263
19	0.572433	7500	1.222921	29.247184
20	0.554712	7500	1.202998	30.450183
21	0.537324	7500	1.181846	31.632029
22	0.520268	7500	1.159110	32.791139
23	0.503540	7500	1.130625	33.921765
24	0.487139	7500	1.103150	35.024915
25	0.471063	7500	1.083693	36.108608
26	0.455310	7500	1.059584	37.168192
27	0.439877	7500	1.037588	38.205779
28	0.424762	7500	1.018321	39.224100
29	0.409963	7500	0.993919	40.218019
30	0.395478	7500	0.969065	41.187084
31	0.381305	7500	0.946010	42.133094
32	0.367440	7500	0.921866	43.054960
33	0.353883	7500	0.902397	43.957358
34	0.340630	7500	0.880571	44.837928
35	0.327680	7500	0.852983	45.690912
36	0.315030	7500	0.818986	46.509897
37	0.302677	7500	0.808994	47.318891
38	0.290619	7500	0.782091	48.100982
39	0.278855	7500	0.765864	48.866846
40	0.267381	7500	0.742411	49.609257
41	0.256195	7500	0.731941	50.341198
42	0.245294	7500	0.701394	51.042592
43	0.234677	7500	0.682804	51.725396
44	0.224340	7500	0.658370	52.383766
45	0.214281	7500	0.614226	52.997992
46	0.204498	7500	0.605669	53.603660
47	0.194988	7500	0.594681	54.198341
48	0.185749	7500	0.566338	54.764680
49	0.176777	7500	0.556108	55.320788
50	0.168070	7500	0.532150	55.852937
51	0.159626	7500	0.490139	56.343077
52	0.151441	7500	0.496747	56.839823
53	0.143514	7500	0.456152	57.295976
54	0.135841	7500	0.432642	57.728617
55	0.128420	7500	0.408158	58.136776
56	0.121247	7500	0.386155	58.522931
57	0.114320	7500	0.355286	58.878217
58	0.107637	7500	0.306593	59.184809
59	0.101193	7500	0.270844	59.455654
60	0.094986	7500	0.259346	59.714999
61	0.089014	7500	0.238959	59.953959
62	0.083273	7500	0.218916	60.172874
63	0.077760	7500	0.161150	60.334025
64	0.072472	7500	0.112105	60.446130
65	0.067406	7500	-0.157734	60.288396
66	0.062558	7500	-0.017797	60.270599
67	0.057926	7500	-0.312852	59.957747
68	0.053506	7500	-0.371872	59.585875
69	0.049295	7500	-0.594278	58.991597
70	0.045289	7500	-0.581176	58.410421
71	0.041485	7500	-0.629787	57.780634
72	0.037880	7500	-0.536340	57.244293
73	0.034469	7500	-0.601549	56.642744
74	0.031250	7500	-0.594220	56.048524
75	0.028218	7500	-0.539187	55.509337
76	0.025370	7500	-0.519953	54.989383
77	0.022702	7500	-0.507922	54.481461
78	0.020209	7500	-0.492485	53.988976
79	0.017889	7500	-0.466657	53.522319
80	0.015736	7500	-0.431106	53.091213
81	0.013746	7500	-0.409099	52.682114
82	0.011916	7500	-0.373415	52.308699
83	0.010240	7500	-0.351888	51.956810
84	0.008714	7500	-0.321206	51.635605
85	0.007334	7500	-0.296581	51.339024
86	0.006093	7500	-0.266355	51.072668
87	0.004988	7500	-0.238129	50.834540
88	0.004013	7500	-0.208965	50.625574
89	0.003162	7500	-0.185291	50.440283
90	0.002430	7500	-0.158768	50.281515
91	0.001810	7500	-0.135670	50.145845
92	0.001296	7500	-0.111659	50.034187
93	0.000882	7500	-0.090660	49.943526
94	0.000559	7500	-0.070538	49.872988
95	0.000320	7500	-0.052871	49.820116
96	0.000156	7500	-0.036073	49.784044
97	0.000057	7500	-0.021727	49.762316
98	0.000010	7500	-0.010260	49.752057
99	0.000000	7500	-0.002187	49.749869
Log marginal likelihood:	49.749869
