Rate	100.00
Rate Tried	% Accepted	Alpha - Dev	Alpha - Tried	Alpha - Accepted	Beta Trait 1 - Dev	Beta Trait 1 - Tried	Beta Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.312000	0.109715	502	0.296813	0.013769	498	0.327309	0.312000	0.303265	
1000	0.308000	0.109715	477	0.264151	0.013769	523	0.347992	0.308000	0.303270	
1000	0.298000	0.109715	491	0.291242	0.013769	509	0.304519	0.298000	0.303265	
1000	0.305000	0.109715	512	0.304688	0.013769	488	0.305328	0.305000	0.303267	
1000	0.311000	0.109715	486	0.294239	0.013769	514	0.326848	0.311000	0.303274	
1000	0.328000	0.109715	537	0.374302	0.013769	463	0.274298	0.328000	0.303299	
1000	0.314000	0.109715	486	0.325103	0.013769	514	0.303502	0.314000	0.303310	
1000	0.303000	0.109715	502	0.310757	0.013769	498	0.295181	0.303000	0.303309	
1000	0.318000	0.109715	525	0.320000	0.013769	475	0.315789	0.318000	0.303324	
1000	0.314000	0.109715	481	0.307692	0.013769	519	0.319846	0.314000	0.303334	
1000	0.265000	0.109715	511	0.234834	0.013769	489	0.296524	0.265000	0.303296	
1000	0.299000	0.109715	469	0.302772	0.013769	531	0.295669	0.299000	0.303292	
1000	0.286000	0.109715	470	0.295745	0.013769	530	0.277358	0.286000	0.303275	
1000	0.308000	0.109715	468	0.311966	0.013769	532	0.304511	0.308000	0.303280	
1000	0.286000	0.109715	455	0.296703	0.013769	545	0.277064	0.286000	0.303263	
1000	0.323000	0.109715	511	0.311155	0.013769	489	0.335378	0.323000	0.303282	
1000	0.308000	0.109715	508	0.305118	0.013769	492	0.310976	0.308000	0.303287	
1000	0.305000	0.109715	507	0.311637	0.013769	493	0.298174	0.305000	0.303289	
1000	0.325000	0.109715	497	0.336016	0.013769	503	0.314115	0.325000	0.303310	
1000	0.332000	0.109715	501	0.321357	0.013769	499	0.342685	0.332000	0.303338	
1000	0.310000	0.109715	480	0.293750	0.013769	520	0.325000	0.310000	0.303344	
1000	0.315000	0.109715	513	0.311891	0.013769	487	0.318275	0.315000	0.303356	
1000	0.317000	0.109715	518	0.337838	0.013769	482	0.294606	0.317000	0.303369	
1000	0.312000	0.109715	510	0.315686	0.013769	490	0.308163	0.312000	0.303378	
1000	0.357000	0.109715	509	0.312377	0.013769	491	0.403259	0.357000	0.303430	
1000	0.229000	0.109715	487	0.326489	0.026978	513	0.136452	0.229000	0.303357	
1000	0.274000	0.109715	508	0.244094	0.014248	492	0.304878	0.274000	0.303329	
1000	0.295000	0.109715	490	0.295918	0.014248	510	0.294118	0.295000	0.303321	
1000	0.340000	0.109715	514	0.350195	0.014248	486	0.329218	0.340000	0.303356	
1000	0.288000	0.109715	493	0.300203	0.014248	507	0.276134	0.288000	0.303341	
1000	0.295000	0.109715	501	0.299401	0.014248	499	0.290581	0.295000	0.303333	
1000	0.292000	0.109715	486	0.294239	0.014248	514	0.289883	0.292000	0.303322	
1000	0.305000	0.109715	488	0.319672	0.014248	512	0.291016	0.305000	0.303324	
1000	0.309000	0.109715	497	0.307847	0.014248	503	0.310139	0.309000	0.303329	
1000	0.300000	0.109715	500	0.320000	0.014248	500	0.280000	0.300000	0.303326	
1000	0.332000	0.109715	513	0.346979	0.014248	487	0.316222	0.332000	0.303354	
1000	0.333000	0.109715	484	0.363636	0.014248	516	0.304264	0.333000	0.303383	
1000	0.305000	0.109715	502	0.328685	0.014248	498	0.281124	0.305000	0.303384	
1000	0.298000	0.109715	470	0.321277	0.014248	530	0.277358	0.298000	0.303379	
1000	0.306000	0.109715	510	0.321569	0.014248	490	0.289796	0.306000	0.303381	
1000	0.270000	0.109715	508	0.299213	0.014248	492	0.239837	0.270000	0.303349	
1000	0.325000	0.109715	505	0.316832	0.014248	495	0.333333	0.325000	0.303370	
1000	0.318000	0.109715	496	0.332661	0.014248	504	0.303571	0.318000	0.303384	
1000	0.308000	0.109715	520	0.303846	0.014248	480	0.312500	0.308000	0.303389	
1000	0.342000	0.109715	515	0.353398	0.014248	485	0.329897	0.342000	0.303426	
1000	0.313000	0.109715	496	0.308468	0.014248	504	0.317460	0.313000	0.303435	
1000	0.319000	0.109715	513	0.306043	0.014248	487	0.332649	0.319000	0.303450	
