Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-1	Lambda	
1001000	116.255297	1	0.112367616937	0.003387755362	0.002788442590	0.023059583208	0.071367475116	0.073052024350	0.012389	0.001538	1.000000000000	
1002000	119.588035	1	0.135912210552	0.001248262468	0.002264122076	0.023059583208	0.071367475116	0.073052024350	0.011164	0.001386	1.000000000000	
1003000	118.211652	1	0.155181916596	-0.001281382138	0.002467513559	0.023059583208	0.071367475116	0.073052024350	0.011654	0.001447	1.000000000000	
1004000	119.789075	1	0.142952438460	0.000848214920	0.002235851343	0.023059583208	0.071367475116	0.073052024350	0.011094	0.001377	1.000000000000	
1005000	116.581591	1	0.169811233783	0.001384909206	0.002732152694	0.023059583208	0.071367475116	0.073052024350	0.012264	0.001523	1.000000000000	
1006000	119.433727	1	0.153075730580	0.000730826925	0.002286063412	0.023059583208	0.071367475116	0.073052024350	0.011218	0.001393	1.000000000000	
1007000	118.111091	1	0.127293177939	0.000392158389	0.002483071003	0.023059583208	0.071367475116	0.073052024350	0.011691	0.001452	1.000000000000	
1008000	117.406203	1	0.123702103296	0.000304061697	0.002594909371	0.023059583208	0.071367475116	0.073052024350	0.011952	0.001484	1.000000000000	
1009000	118.660672	1	0.129500421109	0.003069917231	0.002399228649	0.023059583208	0.071367475116	0.073052024350	0.011492	0.001427	1.000000000000	
1010000	119.731904	1	0.142572518691	0.001778810763	0.002243854756	0.023059583208	0.071367475116	0.073052024350	0.011114	0.001380	1.000000000000	
1011000	119.109631	1	0.139784520334	0.002845039279	0.002332842085	0.023059583208	0.071367475116	0.073052024350	0.011332	0.001407	1.000000000000	
1012000	119.610085	1	0.145711928822	0.000282875990	0.002261003926	0.023059583208	0.071367475116	0.073052024350	0.011156	0.001385	1.000000000000	
1013000	119.068052	1	0.156158301134	0.001095713388	0.002338912339	0.023059583208	0.071367475116	0.073052024350	0.011347	0.001409	1.000000000000	
1014000	115.910502	1	0.111724030168	0.001594284378	0.002849184750	0.023059583208	0.071367475116	0.073052024350	0.012523	0.001555	1.000000000000	
1015000	119.605575	1	0.139385392305	0.002112030010	0.002261641362	0.023059583208	0.071367475116	0.073052024350	0.011158	0.001385	1.000000000000	
1016000	119.659467	1	0.143006723682	0.000465527392	0.002254036444	0.023059583208	0.071367475116	0.073052024350	0.011139	0.001383	1.000000000000	
1017000	118.950007	1	0.155688722832	-0.000340619830	0.002356232266	0.023059583208	0.071367475116	0.073052024350	0.011389	0.001414	1.000000000000	
1018000	118.815414	1	0.157116538196	0.001406964299	0.002376136601	0.023059583208	0.071367475116	0.073052024350	0.011437	0.001420	1.000000000000	
1019000	118.559260	1	0.127268928946	0.001011991869	0.002414483754	0.023059583208	0.071367475116	0.073052024350	0.011529	0.001431	1.000000000000	
1020000	118.439324	1	0.124886515365	0.002637938688	0.002432650720	0.023059583208	0.071367475116	0.073052024350	0.011572	0.001437	1.000000000000	
