Rate	100.00
Rate Tried	% Accepted	Alpha - Dev	Alpha - Tried	Alpha - Accepted	Beta Trait 1 - Dev	Beta Trait 1 - Tried	Beta Trait 1 - Accepted	Beta Trait 2 - Dev	Beta Trait 2 - Tried	Beta Trait 2 - Accepted	Beta Trait 3 - Dev	Beta Trait 3 - Tried	Beta Trait 3 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.291000	0.054446	235	0.280851	0.000170	241	0.340249	0.033837	268	0.257463	0.004681	256	0.289063	0.291000	0.284765	
1000	0.303000	0.054446	230	0.282609	0.000170	241	0.327801	0.033837	252	0.293651	0.004681	277	0.306859	0.303000	0.284783	
1000	0.314000	0.054446	231	0.303030	0.000170	254	0.350394	0.033837	226	0.256637	0.004681	289	0.335640	0.314000	0.284812	
1000	0.288000	0.054446	237	0.278481	0.000170	276	0.300725	0.033837	242	0.301653	0.004681	245	0.269388	0.288000	0.284815	
1000	0.311000	0.054446	233	0.339056	0.000170	279	0.304659	0.033837	245	0.314286	0.004681	243	0.288066	0.311000	0.284842	
1000	0.286000	0.054446	234	0.316239	0.000170	252	0.305556	0.033837	248	0.262097	0.004681	266	0.263158	0.286000	0.284843	
1000	0.315000	0.054446	245	0.310204	0.000170	241	0.348548	0.033837	241	0.298755	0.004681	273	0.304029	0.315000	0.284873	
1000	0.296000	0.054446	254	0.303150	0.000170	241	0.286307	0.033837	246	0.304878	0.004681	259	0.289575	0.296000	0.284884	
1000	0.282000	0.054446	269	0.304833	0.000170	250	0.252000	0.033837	246	0.292683	0.004681	235	0.276596	0.282000	0.284881	
1000	0.300000	0.054446	237	0.295359	0.000170	225	0.226667	0.033837	261	0.325670	0.004681	277	0.339350	0.300000	0.284896	
1000	0.330000	0.054446	220	0.313636	0.000170	242	0.301653	0.033837	272	0.312500	0.004681	266	0.387218	0.330000	0.284940	
1000	0.276000	0.054446	228	0.289474	0.000170	256	0.265625	0.033837	244	0.266393	0.004681	272	0.283088	0.276000	0.284932	
1000	0.296000	0.054446	244	0.258197	0.000170	242	0.334711	0.033837	269	0.275093	0.004681	245	0.318367	0.296000	0.284942	
1000	0.327000	0.054446	249	0.321285	0.000170	237	0.396624	0.033837	271	0.287823	0.004681	243	0.308642	0.327000	0.284984	
1000	0.337000	0.054446	233	0.321888	0.000170	252	0.392857	0.033837	264	0.325758	0.004681	251	0.306773	0.337000	0.285035	
1000	0.299000	0.054446	246	0.264228	0.000170	239	0.267782	0.033837	263	0.277567	0.004681	252	0.384921	0.299000	0.285049	
1000	0.325000	0.054446	227	0.277533	0.000170	245	0.355102	0.033837	255	0.317647	0.004681	273	0.344322	0.325000	0.285088	
1000	0.279000	0.054446	254	0.232283	0.000170	233	0.261803	0.033837	262	0.282443	0.004681	251	0.338645	0.279000	0.285082	
1000	0.308000	0.054446	234	0.273504	0.000170	260	0.338462	0.033837	253	0.280632	0.004681	253	0.335968	0.308000	0.285105	
1000	0.300000	0.054446	241	0.294606	0.000170	256	0.371094	0.033837	245	0.253061	0.004681	258	0.279070	0.300000	0.285119	
1000	0.318000	0.054446	256	0.328125	0.000170	249	0.293173	0.033837	242	0.334711	0.004681	253	0.316206	0.318000	0.285152	
1000	0.320000	0.054446	257	0.315175	0.000170	241	0.319502	0.033837	233	0.347639	0.004681	269	0.301115	0.320000	0.285186	
1000	0.289000	0.054446	252	0.285714	0.000170	255	0.356863	0.033837	259	0.247104	0.004681	234	0.264957	0.289000	0.285189	
1000	0.266000	0.054446	255	0.301961	0.000170	267	0.258427	0.033837	234	0.230769	0.004681	244	0.270492	0.266000	0.285171	
1000	0.284000	0.054446	250	0.304000	0.000170	246	0.280488	0.033837	234	0.260684	0.004681	270	0.288889	0.284000	0.285169	
1000	0.295000	0.054446	223	0.282511	0.000170	226	0.314159	0.033837	277	0.245487	0.004681	274	0.339416	0.295000	0.285179	
1000	0.304000	0.054446	236	0.271186	0.000170	238	0.319328	0.033837	270	0.318519	0.004681	256	0.304688	0.304000	0.285197	
1000	0.294000	0.054446	250	0.248000	0.000170	245	0.322449	0.033837	235	0.327660	0.004681	270	0.281481	0.294000	0.285206	
1000	0.300000	0.054446	256	0.312500	0.000170	255	0.235294	0.033837	253	0.335968	0.004681	236	0.317797	0.300000	0.285220	
1000	0.324000	0.054446	263	0.304183	0.000170	243	0.320988	0.033837	261	0.352490	0.004681	233	0.317597	0.324000	0.285258	
1000	0.257000	0.054446	256	0.273438	0.000170	258	0.263566	0.033837	252	0.234127	0.004681	234	0.256410	0.257000	0.285231	
1000	0.336000	0.054446	219	0.283105	0.000170	274	0.361314	0.033837	275	0.352727	0.004681	232	0.336207	0.336000	0.285280	
1000	0.325000	0.054446	258	0.337209	0.000170	259	0.308880	0.033837	239	0.313808	0.004681	244	0.340164	0.325000	0.285318	
1000	0.294000	0.054446	249	0.309237	0.000170	228	0.258772	0.033837	246	0.292683	0.004681	277	0.310469	0.294000	0.285327	
1000	0.289000	0.054446	261	0.275862	0.000170	251	0.239044	0.033837	259	0.305019	0.004681	229	0.340611	0.289000	0.285330	
1000	0.311000	0.054446	246	0.292683	0.000170	264	0.344697	0.033837	243	0.329218	0.004681	247	0.275304	0.311000	0.285355	
1000	0.302000	0.054446	247	0.311741	0.000170	263	0.304183	0.033837	241	0.261411	0.004681	249	0.329317	0.302000	0.285371	
1000	0.302000	0.054446	253	0.272727	0.000170	236	0.296610	0.033837	235	0.297872	0.004681	276	0.336957	0.302000	0.285387	
1000	0.289000	0.054446	254	0.251969	0.000170	254	0.299213	0.033837	251	0.247012	0.004681	241	0.360996	0.289000	0.285390	
1000	0.312000	0.054446	260	0.273077	0.000170	243	0.337449	0.033837	243	0.267490	0.004681	254	0.370079	0.312000	0.285416	
1000	0.283000	0.054446	242	0.256198	0.000170	237	0.295359	0.033837	270	0.274074	0.004681	251	0.306773	0.283000	0.285414	
1000	0.285000	0.054446	258	0.255814	0.000170	253	0.296443	0.033837	234	0.282051	0.004681	255	0.305882	0.285000	0.285413	
1000	0.329000	0.054446	259	0.308880	0.000170	259	0.355212	0.033837	244	0.303279	0.004681	238	0.348739	0.329000	0.285455	
1000	0.309000	0.054446	262	0.316794	0.000170	231	0.311688	0.033837	238	0.319328	0.004681	269	0.289963	0.309000	0.285478	
1000	0.302000	0.054446	261	0.287356	0.000170	241	0.302905	0.033837	238	0.298319	0.004681	260	0.319231	0.302000	0.285494	
1000	0.268000	0.054446	265	0.283019	0.000170	248	0.262097	0.033837	253	0.288538	0.004681	234	0.235043	0.268000	0.285477	
1000	0.318000	0.054446	234	0.316239	0.000170	270	0.370370	0.033837	257	0.260700	0.004681	239	0.322176	0.318000	0.285508	
1000	0.279000	0.054446	249	0.289157	0.000170	256	0.257813	0.033837	236	0.254237	0.004681	259	0.312741	0.279000	0.285502	
1000	0.300000	0.054446	263	0.285171	0.000170	249	0.337349	0.033837	243	0.275720	0.004681	245	0.302041	0.300000	0.285515	
1000	0.282000	0.054446	249	0.265060	0.000170	238	0.205882	0.033837	250	0.328000	0.004681	263	0.323194	0.282000	0.285512	
1000	0.283000	0.054446	265	0.286792	0.000170	249	0.273092	0.033837	253	0.276680	0.004681	233	0.296137	0.283000	0.285510	
1000	0.305000	0.054446	267	0.280899	0.000170	247	0.340081	0.033837	240	0.304167	0.004681	246	0.296748	0.305000	0.285528	
1000	0.291000	0.054446	247	0.246964	0.000170	245	0.363265	0.033837	272	0.286765	0.004681	236	0.266949	0.291000	0.285533	
1000	0.311000	0.054446	238	0.285714	0.000170	264	0.329545	0.033837	227	0.290749	0.004681	271	0.332103	0.311000	0.285558	
1000	0.275000	0.054446	276	0.242754	0.000170	247	0.319838	0.033837	239	0.255230	0.004681	238	0.285714	0.275000	0.285548	
1000	0.289000	0.054446	253	0.276680	0.000170	232	0.271552	0.033837	246	0.296748	0.004681	269	0.308550	0.289000	0.285551	
1000	0.292000	0.054446	238	0.294118	0.000170	253	0.288538	0.033837	231	0.268398	0.004681	278	0.312950	0.292000	0.285557	
1000	0.306000	0.054446	268	0.309701	0.000170	242	0.334711	0.033837	247	0.291498	0.004681	243	0.288066	0.306000	0.285576	
1000	0.332000	0.054446	266	0.308271	0.000170	241	0.360996	0.033837	244	0.344262	0.004681	249	0.317269	0.332000	0.285620	
1000	0.311000	0.054446	225	0.271111	0.000170	275	0.338182	0.033837	241	0.261411	0.004681	259	0.362934	0.311000	0.285644	
1000	0.302000	0.054446	214	0.252336	0.000170	268	0.332090	0.033837	267	0.322097	0.004681	251	0.290837	0.302000	0.285659	
1000	0.288000	0.054446	235	0.234043	0.000170	248	0.326613	0.033837	242	0.305785	0.004681	275	0.283636	0.288000	0.285662	
1000	0.301000	0.054446	250	0.300000	0.000170	264	0.340909	0.033837	259	0.297297	0.004681	227	0.259912	0.301000	0.285676	
1000	0.302000	0.054446	272	0.290441	0.000170	235	0.327660	0.033837	218	0.298165	0.004681	275	0.294545	0.302000	0.285691	
1000	0.298000	0.054446	264	0.325758	0.000170	257	0.280156	0.033837	247	0.283401	0.004681	232	0.301724	0.298000	0.285703	
1000	0.274000	0.054446	262	0.286260	0.000170	248	0.262097	0.033837	243	0.263374	0.004681	247	0.283401	0.274000	0.285692	
1000	0.287000	0.054446	256	0.250000	0.000170	262	0.309160	0.033837	247	0.307692	0.004681	235	0.280851	0.287000	0.285693	
1000	0.262000	0.054446	260	0.273077	0.000170	253	0.280632	0.033837	250	0.236000	0.004681	237	0.257384	0.262000	0.285671	
1000	0.298000	0.054446	254	0.259843	0.000170	253	0.300395	0.033837	241	0.344398	0.004681	252	0.289683	0.298000	0.285683	
1000	0.280000	0.054446	243	0.300412	0.000170	257	0.260700	0.033837	261	0.302682	0.004681	239	0.255230	0.280000	0.285677	
1000	0.286000	0.054446	255	0.223529	0.000170	235	0.319149	0.033837	225	0.311111	0.004681	285	0.294737	0.286000	0.285678	
1000	0.298000	0.054446	254	0.259843	0.000170	252	0.301587	0.033837	253	0.308300	0.004681	241	0.323651	0.298000	0.285689	
1000	0.293000	0.054446	249	0.277108	0.000170	260	0.300000	0.033837	250	0.272000	0.004681	241	0.323651	0.293000	0.285696	
1000	0.287000	0.054446	274	0.266423	0.000170	243	0.296296	0.033837	252	0.273810	0.004681	231	0.316017	0.287000	0.285697	
1000	0.314000	0.054446	241	0.278008	0.000170	258	0.275194	0.033837	246	0.337398	0.004681	255	0.364706	0.314000	0.285723	
1000	0.292000	0.054446	235	0.297872	0.000170	249	0.325301	0.033837	248	0.290323	0.004681	268	0.257463	0.292000	0.285729	
1000	0.286000	0.054446	239	0.271967	0.000170	259	0.308880	0.033837	260	0.303846	0.004681	242	0.256198	0.286000	0.285730	
1000	0.287000	0.054446	247	0.263158	0.000170	239	0.292887	0.033837	263	0.296578	0.004681	251	0.294821	0.287000	0.285731	
1000	0.300000	0.054446	241	0.311203	0.000170	269	0.338290	0.033837	242	0.280992	0.004681	248	0.266129	0.300000	0.285744	
1000	0.281000	0.054446	245	0.240816	0.000170	240	0.329167	0.033837	230	0.252174	0.004681	285	0.298246	0.281000	0.285740	
1000	0.303000	0.054446	234	0.247863	0.000170	243	0.341564	0.033837	261	0.298851	0.004681	262	0.320611	0.303000	0.285756	
1000	0.305000	0.054446	235	0.323404	0.000170	282	0.312057	0.033837	248	0.282258	0.004681	235	0.302128	0.305000	0.285773	
1000	0.320000	0.054446	248	0.314516	0.000170	266	0.319549	0.033837	227	0.295154	0.004681	259	0.347490	0.320000	0.285805	
1000	0.332000	0.054446	270	0.285185	0.000170	239	0.330544	0.033837	251	0.358566	0.004681	240	0.358333	0.332000	0.285848	
1000	0.311000	0.054446	257	0.284047	0.000170	263	0.323194	0.033837	229	0.327511	0.004681	251	0.310757	0.311000	0.285871	
1000	0.295000	0.054446	257	0.303502	0.000170	246	0.304878	0.033837	221	0.298643	0.004681	276	0.275362	0.295000	0.285879	
1000	0.282000	0.054446	248	0.241935	0.000170	251	0.286853	0.033837	236	0.296610	0.004681	265	0.301887	0.282000	0.285876	
1000	0.293000	0.054446	248	0.306452	0.000170	253	0.343874	0.033837	248	0.266129	0.004681	251	0.254980	0.293000	0.285882	
1000	0.301000	0.054446	258	0.279070	0.000170	251	0.350598	0.033837	253	0.264822	0.004681	238	0.310924	0.301000	0.285896	
1000	0.329000	0.054446	260	0.319231	0.000170	247	0.336032	0.033837	242	0.334711	0.004681	251	0.326693	0.329000	0.285936	
1000	0.330000	0.054446	247	0.287449	0.000170	239	0.347280	0.033837	273	0.296703	0.004681	241	0.394191	0.330000	0.285976	
1000	0.302000	0.054446	250	0.220000	0.000170	244	0.311475	0.033837	260	0.384615	0.004681	246	0.288618	0.302000	0.285991	
1000	0.274000	0.054446	219	0.283105	0.000170	281	0.227758	0.033837	234	0.316239	0.004681	266	0.278195	0.274000	0.285980	
1000	0.327000	0.054446	255	0.305882	0.000170	245	0.326531	0.033837	251	0.382470	0.004681	249	0.293173	0.327000	0.286017	
1000	0.262000	0.054446	255	0.282353	0.000170	257	0.268482	0.033837	241	0.224066	0.004681	247	0.271255	0.262000	0.285995	
1000	0.317000	0.054446	249	0.285141	0.000170	238	0.340336	0.033837	243	0.325103	0.004681	270	0.318519	0.317000	0.286023	
1000	0.290000	0.054446	217	0.244240	0.000170	280	0.321429	0.033837	266	0.274436	0.004681	237	0.312236	0.290000	0.286027	
