Steppingstone sampler:
        No Stones:                  100
        Start It:                   11000001
        It Per Stone:               10000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	7500	6.328004	6.328004
1	0.950747	7500	6.237540	12.565544
2	0.926679	7500	6.138564	18.704108
3	0.902980	7500	6.040409	24.744517
4	0.879648	7500	5.937877	30.682393
5	0.856682	7500	5.852801	36.535194
6	0.834079	7500	5.752700	42.287895
7	0.811838	7500	5.661185	47.949080
8	0.789957	7500	5.572537	53.521617
9	0.768433	7500	5.477024	58.998642
10	0.747266	7500	5.386920	64.385562
11	0.726452	7500	5.289359	69.674921
12	0.705989	7500	5.202610	74.877531
13	0.685877	7500	5.112355	79.989886
14	0.666112	7500	5.023094	85.012980
15	0.646693	7500	4.930884	89.943864
16	0.627618	7500	4.842771	94.786635
17	0.608884	7500	4.756671	99.543306
18	0.590490	7500	4.662888	104.206194
19	0.572433	7500	4.577623	108.783816
20	0.554712	7500	4.491739	113.275555
21	0.537324	7500	4.406775	117.682330
22	0.520268	7500	4.319201	122.001531
23	0.503540	7500	4.232063	126.233594
24	0.487139	7500	4.144010	130.377604
25	0.471063	7500	4.058003	134.435607
26	0.455310	7500	3.976778	138.412385
27	0.439877	7500	3.891605	142.303990
28	0.424762	7500	3.809003	146.112993
29	0.409963	7500	3.725027	149.838020
30	0.395478	7500	3.638935	153.476956
31	0.381305	7500	3.556811	157.033767
32	0.367440	7500	3.474766	160.508533
33	0.353883	7500	3.391829	163.900362
34	0.340630	7500	3.315456	167.215817
35	0.327680	7500	3.245229	170.461046
36	0.315030	7500	3.160958	173.622004
37	0.302677	7500	3.080808	176.702813
38	0.290619	7500	3.000616	179.703429
39	0.278855	7500	2.914696	182.618125
40	0.267381	7500	2.840549	185.458673
41	0.256195	7500	2.770995	188.229669
42	0.245294	7500	2.680266	190.909934
43	0.234677	7500	2.591291	193.501225
44	0.224340	7500	2.532625	196.033850
45	0.214281	7500	2.449861	198.483711
46	0.204498	7500	2.337621	200.821332
47	0.194988	7500	2.303584	203.124916
48	0.185749	7500	2.224323	205.349239
49	0.176777	7500	2.148506	207.497745
50	0.168070	7500	2.051006	209.548751
51	0.159626	7500	1.986322	211.535074
52	0.151441	7500	1.906123	213.441196
53	0.143514	7500	1.724390	215.165586
54	0.135841	7500	1.756980	216.922567
55	0.128420	7500	1.648492	218.571059
56	0.121247	7500	1.412693	219.983752
57	0.114320	7500	1.477760	221.461511
58	0.107637	7500	1.449784	222.911295
59	0.101193	7500	1.183955	224.095250
60	0.094986	7500	0.866146	224.961396
61	0.089014	7500	0.722415	225.683811
62	0.083273	7500	0.854259	226.538070
63	0.077760	7500	0.317714	226.855784
64	0.072472	7500	0.655867	227.511651
65	0.067406	7500	-0.466303	227.045348
66	0.062558	7500	-0.499672	226.545676
67	0.057926	7500	-0.645465	225.900211
68	0.053506	7500	-0.562718	225.337493
69	0.049295	7500	-0.614231	224.723262
70	0.045289	7500	-0.621064	224.102198
71	0.041485	7500	-0.645563	223.456634
72	0.037880	7500	-0.736819	222.719815
73	0.034469	7500	-0.636044	222.083771
74	0.031250	7500	-0.662104	221.421667
75	0.028218	7500	-0.698689	220.722977
76	0.025370	7500	-0.690264	220.032713
77	0.022702	7500	-0.656380	219.376334
78	0.020209	7500	-0.634057	218.742277
79	0.017889	7500	-0.609614	218.132663
80	0.015736	7500	-0.590337	217.542326
81	0.013746	7500	-0.558115	216.984211
82	0.011916	7500	-0.540865	216.443346
83	0.010240	7500	-0.476330	215.967015
84	0.008714	7500	-0.459577	215.507439
85	0.007334	7500	-0.418736	215.088703
86	0.006093	7500	-0.379745	214.708958
87	0.004988	7500	-0.338768	214.370190
88	0.004013	7500	-0.301589	214.068601
89	0.003162	7500	-0.266345	213.802256
90	0.002430	7500	-0.233042	213.569215
91	0.001810	7500	-0.197992	213.371223
92	0.001296	7500	-0.163026	213.208197
93	0.000882	7500	-0.131791	213.076405
94	0.000559	7500	-0.103523	212.972883
95	0.000320	7500	-0.077565	212.895318
96	0.000156	7500	-0.052497	212.842821
97	0.000057	7500	-0.031566	212.811254
98	0.000010	7500	-0.014700	212.796555
99	0.000000	7500	-0.003174	212.793381
Log marginal likelihood:	212.793381
