Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	Lambda	
1001000	256.370581	1	0.164329402386	0.000023620927	-0.028011455881	0.000585244054	0.000456751226	0.495171878464	0.020406854393	0.040423370890	0.005878	0.000016	0.005612	0.000717	1.000000000000	
1002000	256.132115	1	0.160438332573	0.000004545142	-0.024418720202	-0.000162785466	0.000461617856	0.494590800172	0.020430343549	0.040423370915	0.005909	0.000016	0.005642	0.000720	1.000000000000	
1003000	255.844221	1	0.166057152242	-0.000016693654	-0.024153934549	0.000349833125	0.000467562325	0.489796691772	0.020624137571	0.040423370915	0.005947	0.000016	0.005678	0.000725	1.000000000000	
1004000	256.646504	1	0.163380923126	0.000011000858	-0.026908473306	0.000202617660	0.000451184192	0.503490472743	0.020070588783	0.040423370915	0.005842	0.000016	0.005578	0.000712	1.000000000000	
1005000	254.031689	1	0.167507658117	0.000023598071	-0.039718669022	0.002146864638	0.000506786424	0.477440334526	0.021123623183	0.040423370915	0.006191	0.000016	0.005912	0.000755	1.000000000000	
1006000	256.188974	1	0.163871749959	-0.000000432153	-0.021450828297	-0.000154709301	0.000460452784	0.493470920894	0.020475612844	0.040423370915	0.005901	0.000016	0.005635	0.000720	1.000000000000	
1007000	254.722463	1	0.171613785839	-0.000015695135	-0.029861120579	0.001417551328	0.000491463946	0.483903846917	0.020862346224	0.040423370915	0.006097	0.000016	0.005822	0.000743	1.000000000000	
1008000	256.166945	1	0.165100771014	0.000020419096	-0.024306696354	0.000157734127	0.000460903816	0.491637820884	0.020549712926	0.040423370915	0.005904	0.000016	0.005638	0.000720	1.000000000000	
1009000	251.839286	1	0.153482265165	0.000018762106	-0.028252504298	-0.000048663843	0.000558653708	0.492232832680	0.020525660543	0.040423370915	0.006500	0.000017	0.006207	0.000793	1.000000000000	
1010000	254.760703	1	0.172877124940	0.000005261686	-0.028884718268	0.000029503640	0.000490629381	0.500902706701	0.020175195010	0.040423370915	0.006092	0.000016	0.005817	0.000743	1.000000000000	
1011000	257.021397	1	0.166817206885	-0.000003069465	-0.030719776956	0.001200589098	0.000443728881	0.507713410202	0.019899883416	0.040423370915	0.005793	0.000015	0.005532	0.000706	1.000000000000	
1012000	256.616163	1	0.163425166503	0.000019175687	-0.026274933720	0.000792166967	0.000451793003	0.498727642143	0.020263118451	0.040423370915	0.005846	0.000016	0.005582	0.000713	1.000000000000	
1013000	252.718910	1	0.163628023149	-0.000019928920	-0.037446589693	0.002640493125	0.000537234865	0.422316246072	0.023351924657	0.040423370915	0.006374	0.000017	0.006087	0.000777	1.000000000000	
1014000	255.109485	1	0.174720331574	-0.000000287209	-0.029521112417	0.000868974956	0.000483082579	0.512544043356	0.019704612928	0.040423370890	0.006045	0.000016	0.005772	0.000737	1.000000000000	
1015000	253.452440	1	0.150489464361	0.000012005813	-0.015925483964	-0.000851780830	0.000520002731	0.447850710035	0.022319735549	0.040423370915	0.006271	0.000017	0.005988	0.000765	1.000000000000	
1016000	256.312442	1	0.164411226710	-0.000013662988	-0.025407067634	0.000161912456	0.000457932989	0.492621299008	0.020509957425	0.040423370915	0.005885	0.000016	0.005620	0.000718	1.000000000000	
1017000	255.576851	1	0.163247706172	0.000030781435	-0.027828917877	0.000502573642	0.000473151562	0.482048793598	0.020937333719	0.040423370890	0.005982	0.000016	0.005712	0.000729	1.000000000000	
1018000	256.539682	1	0.159869845349	0.000006589311	-0.030320875626	0.001022351530	0.000453331337	0.511523729620	0.019745857461	0.040423370915	0.005856	0.000016	0.005591	0.000714	1.000000000000	
1019000	254.726617	1	0.170102729918	0.000000748312	-0.023006920478	-0.000328521946	0.000491373210	0.487466197076	0.020718344022	0.040423370915	0.006096	0.000016	0.005821	0.000743	1.000000000000	
1020000	255.936590	1	0.167438831025	0.000002862155	-0.023871518086	0.000570764128	0.000465646788	0.512843731867	0.019692498508	0.040423370890	0.005935	0.000016	0.005667	0.000724	1.000000000000	
1021000	255.718966	1	0.161318237882	-0.000021948658	-0.028877293798	0.001126819535	0.000470172467	0.480005720065	0.021019921652	0.040423370915	0.005963	0.000016	0.005694	0.000727	1.000000000000	
1022000	256.178683	1	0.164947576517	0.000000764605	-0.027135458634	0.001281727814	0.000460663425	0.500789600068	0.020179767161	0.040423370915	0.005903	0.000016	0.005636	0.000720	1.000000000000	
1023000	256.461618	1	0.161871422443	0.000015308349	-0.024200486211	0.000730685923	0.000454906911	0.502674410563	0.020103576768	0.040423370915	0.005866	0.000016	0.005601	0.000715	1.000000000000	
1024000	256.206211	1	0.172182530831	0.000003776098	-0.034862428401	0.001434923377	0.000460100178	0.507653201928	0.019902317237	0.040423370915	0.005899	0.000016	0.005633	0.000719	1.000000000000	
1025000	254.505682	1	0.156768735665	0.000020563360	-0.028718684813	0.001621800537	0.000496221953	0.465796919168	0.021594289281	0.040423370915	0.006126	0.000016	0.005850	0.000747	1.000000000000	
1026000	255.142257	1	0.172308834825	0.000005054112	-0.035525959943	0.000811062656	0.000482379457	0.512618051382	0.019701621274	0.040423370890	0.006040	0.000016	0.005768	0.000736	1.000000000000	
1027000	253.517898	1	0.174975076089	0.000022179128	-0.036506460089	0.002176235152	0.000518492104	0.463354127135	0.021693035155	0.040423370890	0.006262	0.000017	0.005980	0.000764	1.000000000000	
1028000	257.265378	1	0.164831820760	0.000003116072	-0.030034690480	0.001043162745	0.000438943250	0.511688449620	0.019739198923	0.040423370915	0.005762	0.000015	0.005502	0.000702	1.000000000000	
1029000	256.389243	1	0.158160175654	0.000010564189	-0.021033493902	0.000084620322	0.000456372540	0.499656626827	0.020225565759	0.040423370915	0.005875	0.000016	0.005610	0.000716	1.000000000000	
1030000	256.042764	1	0.167260856439	-0.000012981481	-0.033071172035	0.001646327077	0.000463454646	0.486696589933	0.020749454137	0.040423370915	0.005921	0.000016	0.005653	0.000722	1.000000000000	
1031000	256.121619	1	0.158633815157	0.000015477140	-0.027786512761	0.000513753066	0.000461833238	0.505221924428	0.020000597670	0.040423370915	0.005910	0.000016	0.005643	0.000721	1.000000000000	
1032000	256.626999	1	0.169572421270	0.000010608058	-0.030969511525	0.001180411961	0.000451575477	0.507422198940	0.019911655144	0.040423370890	0.005844	0.000016	0.005580	0.000713	1.000000000000	
1033000	253.890213	1	0.171630510990	0.000026253570	-0.034876012429	0.000637587064	0.000509983048	0.498699832437	0.020264242613	0.040423370915	0.006211	0.000016	0.005930	0.000757	1.000000000000	
1034000	256.850071	1	0.165078094873	0.000009097455	-0.028000853408	0.001114162277	0.000447120546	0.506533934057	0.019947561818	0.040423370915	0.005815	0.000015	0.005553	0.000709	1.000000000000	
1035000	255.708200	1	0.168948070682	-0.000003454064	-0.028792870607	0.001385758666	0.000470397489	0.497740875141	0.020303006887	0.040423370890	0.005965	0.000016	0.005695	0.000727	1.000000000000	
1036000	253.234870	1	0.150357230230	-0.000015017340	-0.025894027339	0.000531179293	0.000525055411	0.496266363361	0.020362611636	0.040423370915	0.006302	0.000017	0.006017	0.000768	1.000000000000	
1037000	253.605988	1	0.153655046826	-0.000024670224	-0.017081391050	-0.000349242988	0.000516466130	0.435620711659	0.022814113310	0.040423370915	0.006250	0.000017	0.005968	0.000762	1.000000000000	
1038000	254.746759	1	0.160437369083	0.000016914646	-0.029148212954	0.000133853330	0.000490933548	0.498365028216	0.020277776516	0.040423370890	0.006094	0.000016	0.005818	0.000743	1.000000000000	
1039000	254.145201	1	0.168988755944	-0.000026923612	-0.036754334668	0.001295040930	0.000504236126	0.484789135916	0.020826559859	0.040423370915	0.006176	0.000016	0.005897	0.000753	1.000000000000	
1040000	256.996826	1	0.164610154651	0.000011255482	-0.030941566189	0.000971260455	0.000444213708	0.510111501543	0.019802944480	0.040423370915	0.005796	0.000015	0.005535	0.000707	1.000000000000	
1041000	256.718526	1	0.165887428944	0.000013133843	-0.032790288334	0.001203735079	0.000449742267	0.507037226657	0.019927217022	0.040423370890	0.005832	0.000015	0.005569	0.000711	1.000000000000	
1042000	252.884123	1	0.159505933652	-0.000011038419	-0.030232636694	-0.000038152653	0.000533304523	0.492755403216	0.020504536468	0.040423370890	0.006351	0.000017	0.006064	0.000774	1.000000000000	
1043000	255.701422	1	0.165782095874	-0.000024441578	-0.029909727142	0.001068936117	0.000470539204	0.478991593524	0.021060916052	0.040423370890	0.005966	0.000016	0.005696	0.000727	1.000000000000	
