Rate	100.00
Rate Tried	% Accepted	Alpha - Dev	Alpha - Tried	Alpha - Accepted	Beta Trait 1 - Dev	Beta Trait 1 - Tried	Beta Trait 1 - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1000	0.278000	0.075386	496	0.264113	0.000228	504	0.291667	0.278000	0.297791	
1000	0.337000	0.075386	512	0.349609	0.000228	488	0.323770	0.337000	0.297830	
1000	0.312000	0.075386	490	0.306122	0.000228	510	0.317647	0.312000	0.297844	
1000	0.269000	0.075386	489	0.263804	0.000228	511	0.273973	0.269000	0.297815	
1000	0.321000	0.075386	515	0.310680	0.000228	485	0.331959	0.321000	0.297839	
1000	0.296000	0.075386	516	0.251938	0.000228	484	0.342975	0.296000	0.297837	
1000	0.268000	0.075386	488	0.272541	0.000228	512	0.263672	0.268000	0.297807	
1000	0.325000	0.075386	501	0.331337	0.000228	499	0.318637	0.325000	0.297834	
1000	0.321000	0.075386	496	0.302419	0.000228	504	0.339286	0.321000	0.297857	
1000	0.317000	0.075386	499	0.310621	0.000228	501	0.323353	0.317000	0.297876	
1000	0.331000	0.075386	468	0.331197	0.000228	532	0.330827	0.331000	0.297909	
1000	0.303000	0.075386	474	0.291139	0.000228	526	0.313688	0.303000	0.297914	
1000	0.287000	0.075386	498	0.273092	0.000228	502	0.300797	0.287000	0.297903	
1000	0.282000	0.075386	496	0.264113	0.000228	504	0.299603	0.282000	0.297887	
1000	0.271000	0.075386	530	0.241509	0.000228	470	0.304255	0.271000	0.297861	
1000	0.282000	0.075386	524	0.269084	0.000228	476	0.296218	0.282000	0.297845	
1000	0.271000	0.075386	479	0.229645	0.000228	521	0.309021	0.271000	0.297819	
1000	0.281000	0.075386	472	0.271186	0.000228	528	0.289773	0.281000	0.297802	
1000	0.305000	0.075386	478	0.274059	0.000228	522	0.333333	0.305000	0.297809	
1000	0.300000	0.075386	511	0.297456	0.000228	489	0.302658	0.300000	0.297811	
1000	0.296000	0.075386	473	0.306554	0.000228	527	0.286528	0.296000	0.297810	
1000	0.288000	0.075386	480	0.306250	0.000228	520	0.271154	0.288000	0.297800	
1000	0.307000	0.075386	502	0.306773	0.000228	498	0.307229	0.307000	0.297809	
1000	0.289000	0.075386	516	0.300388	0.000228	484	0.276860	0.289000	0.297800	
1000	0.302000	0.075386	463	0.289417	0.000228	537	0.312849	0.302000	0.297805	
1000	0.305000	0.075386	475	0.301053	0.000228	525	0.308571	0.305000	0.297812	
1000	0.327000	0.075386	482	0.278008	0.000228	518	0.372587	0.327000	0.297840	
1000	0.284000	0.075386	480	0.270833	0.000228	520	0.296154	0.284000	0.297827	
1000	0.304000	0.075386	486	0.281893	0.000228	514	0.324903	0.304000	0.297833	
1000	0.322000	0.075386	520	0.305769	0.000228	480	0.339583	0.322000	0.297856	
1000	0.305000	0.075386	495	0.296970	0.000228	505	0.312871	0.305000	0.297863	
1000	0.314000	0.075386	503	0.272366	0.000228	497	0.356137	0.314000	0.297879	
1000	0.311000	0.075386	515	0.277670	0.000228	485	0.346392	0.311000	0.297891	
1000	0.309000	0.075386	495	0.288889	0.000228	505	0.328713	0.309000	0.297902	
1000	0.304000	0.075386	524	0.295802	0.000228	476	0.313025	0.304000	0.297908	
1000	0.313000	0.075386	484	0.301653	0.000228	516	0.323643	0.313000	0.297922	
1000	0.280000	0.075386	492	0.239837	0.000228	508	0.318898	0.280000	0.297905	
1000	0.321000	0.075386	482	0.280083	0.000228	518	0.359073	0.321000	0.297927	
1000	0.303000	0.075386	494	0.293522	0.000228	506	0.312253	0.303000	0.297932	
1000	0.277000	0.075386	476	0.231092	0.000228	524	0.318702	0.277000	0.297912	
1000	0.295000	0.075386	503	0.298211	0.000228	497	0.291751	0.295000	0.297909	
1000	0.265000	0.075386	510	0.217647	0.000228	490	0.314286	0.265000	0.297878	
1000	0.321000	0.075386	529	0.300567	0.000228	471	0.343949	0.321000	0.297900	
1000	0.300000	0.075386	503	0.280318	0.000228	497	0.319920	0.300000	0.297902	
1000	0.311000	0.075386	474	0.320675	0.000228	526	0.302281	0.311000	0.297915	
1000	0.291000	0.075386	505	0.275248	0.000228	495	0.307071	0.291000	0.297908	
1000	0.288000	0.075386	485	0.265979	0.000228	515	0.308738	0.288000	0.297898	
1000	0.290000	0.075386	517	0.247582	0.000228	483	0.335404	0.290000	0.297891	
1000	0.281000	0.075386	513	0.278752	0.000228	487	0.283368	0.281000	0.297875	
