genome	path	time	node	host
1.pangolin.Guandong.EPI_ISL_410721.2020-02-16	0.4110088203	2020.12568306011	2	Pangolin
279_2005.Bat-R_macrotis.Hubei.DQ648857.2004-11	0.2525906602	2004.87158469945	5	Bat
Anlong-103.Bat-R_sinicus.Guizhou-Anlong.KY770858.2013	0.2265536671	2013.5	8	Bat
Anlong-112.Bat-R_sinicus.Guizhou-Anlong.KY770859.2013	0.225983575	2013.5	8	Bat
As6526.Bat-Aselliscus_stoliczkanus.Yunnan-Kunming.KY417142.2014-05-12	0.2280703794	2014.35890410959	11	Bat
F46.Bat-R_pusillus.Yunnan.KU973692.2012	0.2231219925	2012.5	3	Bat
GX2013.Bat-R_sinicus.Guangxi.KJ473815.2012-11	0.2508166199	2012.87158469945	8	Bat
HeB2013.Bat-R_ferrumequinum.Hebei.KJ473812.2013-04	0.2622537771	2013.28493150685	7	Bat
HKU3-11.Bat-R_sinicus.Hong_King.GQ153546.2007-03-07	0.2568056155	2007.17808219178	11	Bat
HKU3-12.Bat-R_sinicus.Hong_Kong.GQ153547.2007-05-15	0.2586114406	2007.36712328767	5	Bat
HKU3-13.Bat-R_sinicus.Hong_Kong.GQ153548.2007-11-15	0.2570509908	2007.87123287671	10	Bat
HKU3-3.Bat-R_sinicus.Hong_Kong.DQ084200.2005-03-17	0.2563329107	2005.20547945205	6	Bat
HKU3-4.Bat-R_sinicus.Hong_Kong.GQ153539.2005-07-20	0.2564786135	2005.54794520548	9	Bat
HKU3-5.Bat-R_sinicus.Hong_Kong.GQ153540.2005-09-20	0.2562365348	2005.71780821918	8	Bat
HKU3-6.Bat-R_sinicus.Hong_Kong.GQ153541.2005-12-16	0.2566371221	2005.95616438356	7	Bat
HKU3-7.Bat-R_sinicus.Guangdong.GQ153542.2006-02-15	0.2543127925	2006.12328767123	5	Bat
HKU3-8.Bat-R_sinicus.Guangdong.GQ153543.2006-02-15	0.2544837786	2006.12328767123	5	Bat
HKU3-9.Bat-R_sinicus.Hong_Kong.GQ153544.2006-10-28	0.2566447031	2006.82191780822	11	Bat
HSZ-Cc.SARS-CoV-1.Guangzhou.AY394995.2002	0.225513117	2002.5	5	Human
HuB2013.Bat-Bat-R_sinicus.Hubei.KJ473814.2013-04	0.2376877286	2013.28493150685	4	Bat
Jiyuan-84.Bat-R_ferrumequinum.Henan-Jiyuan.KY770860.2012	0.2641249979	2012.5	6	Bat
JL2012.Bat-R_ferrumequinum.Jilin.KJ473811.2012-10	0.2696699621	2012.78961748634	6	Bat
JTMC15.Bat-R_ferrumequinum.Jilin.KU182964.2013-10	0.2703598846	2013.78904109589	6	Bat
Longquan_140.Bat-R_monoceros.China.KF294457.2012	0.2557561622	2012.5	3	Bat
LYRa11.Bat-R_affinis.Yunnan-Baoshan.KF569996.2011	0.2353598869	2011.5	3	Bat
P1E.pangolin.Guangxi.EPI_ISL_410539.2017	0.4084439318	2017.5	4	Pangolin
P2V.pangolin.Guangxi.EPI_ISL_410542.2017	0.4084464995	2017.5	2	Pangolin
P4L.pangolin.Guangxi.EPI_ISL_410538.2017	0.4083624504	2017.5	4	Pangolin
P5E.pangolin.Guangxi.EPI_ISL_410541.2017	0.4083623985	2017.5	4	Pangolin
P5L.pangolin.Guangxi.EPI_ISL_410540.2017	0.4084438243	2017.5	4	Pangolin
RaTG13.Bat-R_affinis.Yunnan.EPI_ISL_402131.2013-07-24	0.4241055774	2013.55890410959	3	Bat
Rf4092.Bat-R_ferrumequinum.Yunnan-Kunming.KY417145.2012-09-18	0.2263754724	2012.7131147541	8	Bat
Rm1.Bat-R_macrotis.Hubei.DQ412043.2004-11	0.2538831453	2004.87158469945	5	Bat
Rp3.Bat-R_pearsoni.Guangxi-Nanning.DQ071615.2004-12	0.2439990916	2004.95628415301	8	Bat
RpShaanxi2011.Bat-R_pusillus.Shaanxi.JX993987.2011-09	0.2487849426	2011.70410958904	4	Bat
Rs3367.Bat-R_sinicus.Yunnan-Kunming.KC881006.2012-03-19	0.2251892315	2012.2131147541	11	Bat
Rs4081.Bat-R_sinicus.Yunnan-Kunming.KY417143.2012-09-18	0.2323247552	2012.7131147541	13	Bat
Rs4084.Bat-R_sinicus.Yunnan-Kunming.KY417144.2012-09-18	0.2257595032	2012.7131147541	9	Bat
Rs4231.Bat-R_sinicus.Yunnan-Kunming.KY417146.2013-04-17	0.2295379441	2013.2904109589	11	Bat
Rs4237.Bat-R_sinicus.Yunnan-Kunming.KY417147.2013-04-17	0.2285745146	2013.2904109589	10	Bat
Rs4247.Bat-R_sinicus.Yunnan-Kunming.KY417148.2013-04-17	0.2303753432	2013.2904109589	12	Bat
Rs4255.Bat-R_sinicus.Yunnan-Kunming.KY417149.2013-04-17	0.225839014	2013.2904109589	10	Bat
Rs4874.Bat-R_sinicus.Yunnan-Kunming.KY417150.2013-07-21	0.2333762573	2013.55068493151	14	Bat
Rs672.Bat-R_sinicus.Guizhou.FJ588686.2006-09	0.2262473893	2006.70410958904	6	Bat
Rs7327.Bat-R_sinicus.Yunnan--Kunming.KY417151.2014-10-24	0.2262086699	2014.81095890411	8	Bat
