Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/USA/WA-UW78/2020	EPI_ISL_416434	2020-03-10	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.371	GH
hCoV-19/Belgium/SN-03031/2020	EPI_ISL_416469	2020-03-03	Europe / Belgium / Kessel-Lo	Human	Original	Oropharyngeal swab		Nanopore MinION	CLC Genomics Workbench 20, Nanopolish	Sequence updated by the Submitter following changes to the analytics pipeline to mitigate possible sequence errors	info	B.1	G
hCoV-19/Belgium/DB-03023/2020	EPI_ISL_416470	2020-03-02	Europe / Belgium / Couthuin	Human	Original	Oropharyngeal		Nanopore MinION	CLC Genomics Workbench 20, Nanopolish	Sequence updated by the Submitter following changes to the analytics pipeline to mitigate possible sequence errors	info	B.1	G
hCoV-19/France/HDF-2196/2020	EPI_ISL_416493	2020-03-08	Europe / France / Hauts-de-France / Chateau-Thierry	Human	Original	Sputum		Illumina NextSeq 500	CLC Genomics Workbench 20			B.1	G
hCoV-19/France/IDF-2278/2020	EPI_ISL_416499	2020-03-11	Europe / France / Île-de-France / Longjumeau	Human	Original	Oropharyngeal swab		Illumina NextSeq 500	CLC Genomics Workbench 20			B.1	G
hCoV-19/France/IDF-2279/2020	EPI_ISL_416500	2020-03-11	Europe / France / Île-de-France / Longjumeau	Human	Original	Oropharyngeal swab		Illumina NextSeq 500	CLC Genomics Workbench 20			B.1	G
hCoV-19/France/IDF-2284/2020	EPI_ISL_416501	2020-03-10	Europe / France / Île-de-France / Levallois-Perret	Human	Original	Oropharyngeal swab		Illumina NextSeq 500	CLC Genomics Workbench 20			B.1	GH
hCoV-19/USA/WA-UW153/2020	EPI_ISL_416691	2020-03-13	North America / USA / Washington	Human	Original			Illumina NextSeq	custom			B.1.371	GH
hCoV-19/England/SHEF-BFCC0/2020	EPI_ISL_416731	2020-03-03	Europe / United Kingdom / England / Northamtonshire	Human	Original	Throat swab		Nanopore				B.1	G
hCoV-19/England/SHEF-BFD09/2020	EPI_ISL_416735	2020-03-09	Europe / United Kingdom / England / South Yorkshire	Human	Original	Nose and Throat swab		Nanopore		Stretches of NNNs (3.12% of overall sequence).		B.1	G
