We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
All Submitters of data may be contacted directly via www.gisaid.org
Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Turkey/GLAB-CoV008/2020	EPI_ISL_427391	2020-04-13	Europe / Turkey / Istanbul	Human	Original	Oro-pharyngeal swab		Illumina Nextseq	BWA-MEM 0.7.17.1			B.1.p9	GH
hCoV-19/USA/WI-UW-123/2020	EPI_ISL_427430	2020-04-11	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	GH
hCoV-19/USA/WI-UW-126/2020	EPI_ISL_427433	2020-04-11	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			A.3	S
hCoV-19/USA/WI-UW-130/2020	EPI_ISL_427437	2020-04-13	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1.19	G
hCoV-19/USA/WI-UW-132/2020	EPI_ISL_427439	2020-04-10	North America / USA / Wisconsin / Beloit	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			A.4	S
hCoV-19/USA/WI-UW-133/2020	EPI_ISL_427440	2020-04-12	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	G
hCoV-19/USA/WI-UW-134/2020	EPI_ISL_427441	2020-04-13	North America / USA / Wisconsin	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	G
hCoV-19/USA/WI-UW-135/2020	EPI_ISL_427442	2020-04-09	North America / USA / Wisconsin / Madison	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1.19	G
hCoV-19/USA/WI-UW-136/2020	EPI_ISL_427443	2020-04-09	North America / USA / Wisconsin / Muscoda	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	G
hCoV-19/USA/WI-UW-137/2020	EPI_ISL_427444	2020-04-09	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	G
hCoV-19/USA/WI-UW-138/2020	EPI_ISL_427445	2020-04-12	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	G
hCoV-19/USA/WI-UW-139/2020	EPI_ISL_427446	2020-04-12	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	GH
hCoV-19/USA/WI-UW-140/2020	EPI_ISL_427447	2020-04-09	North America / USA / Wisconsin / Waunakee	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	GH
hCoV-19/USA/WI-UW-142/2020	EPI_ISL_427449	2020-04-10	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	GH
hCoV-19/USA/WI-UW-143/2020	EPI_ISL_427450	2020-04-13	North America / USA / Illinois	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			A.3	S
hCoV-19/USA/WI-UW-145/2020	EPI_ISL_427452	2020-04-10	North America / USA / Wisconsin / DeForest	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1.19	G
hCoV-19/USA/WI-UW-147/2020	EPI_ISL_427454	2020-04-10	North America / USA / Wisconsin / Madison	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1.19	G
hCoV-19/USA/WI-UW-150/2020	EPI_ISL_427457	2020-04-13	North America / USA / Wisconsin / Madison	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	G
hCoV-19/USA/WI-UW-153/2020	EPI_ISL_427460	2020-04-09	North America / USA / Wisconsin / Madison	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	G
hCoV-19/USA/WI-UW-154/2020	EPI_ISL_427461	2020-04-12	North America / USA / Wisconsin / Tomah	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	G
hCoV-19/USA/WI-UW-155/2020	EPI_ISL_427462	2020-04-10	North America / USA / Wisconsin / Madison	Human	Original	Nasal swab		Nanopore GridION -- ARTIC protocol	custom -- minimap2			B.1	GH
hCoV-19/Russia/StPetersburg-RII4949S/2020	EPI_ISL_430075	2020-04-09	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	G
hCoV-19/Russia/StPetersburg-RII4969S/2020	EPI_ISL_430076	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4970S/2020	EPI_ISL_430077	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4972S/2020	EPI_ISL_430078	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4980S/2020	EPI_ISL_430079	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4983S/2020	EPI_ISL_430080	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4984S/2020	EPI_ISL_430081	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4985S/2020	EPI_ISL_430082	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII4988S/2020	EPI_ISL_430083	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5017V/2020	EPI_ISL_430084	2020-04-09	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5029S/2020	EPI_ISL_430085	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5033S/2020	EPI_ISL_430086	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5047S/2020	EPI_ISL_430087	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5169S/2020	EPI_ISL_430088	2020-04-09	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5170S/2020	EPI_ISL_430089	2020-04-09	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5244S/2020	EPI_ISL_430090	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	G
hCoV-19/Russia/StPetersburg-RII5247S/2020	EPI_ISL_430091	2020-04-10	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1	GH
hCoV-19/Russia/StPetersburg-RII5633S/2020	EPI_ISL_430092	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5634S/2020	EPI_ISL_430093	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5635S/2020	EPI_ISL_430094	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
hCoV-19/Russia/StPetersburg-RII5642S/2020	EPI_ISL_430095	2020-04-14	Europe / Russia / St.Petersburg	Human	Original	Nasopharyngeal swab		Nanopore MinION	minimap2, UGENE v. 33			B.1.1	GR
