Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Switzerland/ZH-ETHZ-460853/2021	EPI_ISL_1001833	2021-01-16	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_Q27stop results in 78.5% truncation of the protein sequence.	info	B.1.177	GV
hCoV-19/Switzerland/ZH-ETHZ-481058/2021	EPI_ISL_1001851	2021-02-01	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E19stop results in 85.1% truncation of the protein sequence.	info	B.1.177.44	GV
hCoV-19/Switzerland/ZH-ETHZ-481162/2021	EPI_ISL_1001852	2021-02-03	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E19stop results in 85.1% truncation of the protein sequence.	info	B.1.177.44	GV
hCoV-19/Switzerland/SO-ETHZ-480559/2021	EPI_ISL_1001854	2021-02-02	Europe / Switzerland / Solothurn	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E106stop results in 13.2% truncation of the protein sequence. Gap of 6 nucleotides when compared to the reference sequence.	info	B.1.177.44	GV
hCoV-19/Switzerland/SO-ETHZ-460740/2021	EPI_ISL_1001856	2021-01-15	Europe / Switzerland / Solothurn	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E106stop results in 13.2% truncation of the protein sequence.	info	B.1.177.44	GV
hCoV-19/Switzerland/SO-ETHZ-460899/2021	EPI_ISL_1001857	2021-01-16	Europe / Switzerland / Solothurn	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E106stop results in 13.2% truncation of the protein sequence.	info	B.1.177.44	GV
hCoV-19/Switzerland/SO-ETHZ-470545/2021	EPI_ISL_1001858	2021-01-22	Europe / Switzerland / Solothurn	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E106stop results in 13.2% truncation of the protein sequence.	info	B.1.177.44	GV
hCoV-19/Switzerland/SO-ETHZ-470848/2021	EPI_ISL_1001859	2021-01-25	Europe / Switzerland / Solothurn	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E106stop results in 13.2% truncation of the protein sequence.	info	B.1.177.44	GV
hCoV-19/Switzerland/SO-ETHZ-471168/2021	EPI_ISL_1001860	2021-01-27	Europe / Switzerland / Solothurn	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E106stop results in 13.2% truncation of the protein sequence.	info	B.1.177.44	GV
hCoV-19/Switzerland/SO-ETHZ-480427/2021	EPI_ISL_1001861	2021-02-01	Europe / Switzerland / Solothurn	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe	NS8_E106stop results in 13.2% truncation of the protein sequence.	info	B.1.177.44	GV
