Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Switzerland/ZH-ETHZ-480376/2021	EPI_ISL_1004010	2021-02-01	Europe / Switzerland / Zurich	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.221	G
hCoV-19/Switzerland/BL-ETHZ-480445/2021	EPI_ISL_1004040	2021-02-02	Europe / Switzerland / Basel-Landschaft	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.221	G
hCoV-19/Switzerland/TG-ETHZ-480505/2021	EPI_ISL_1004077	2021-02-02	Europe / Switzerland / Thurgau	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.221	G
hCoV-19/Switzerland/SO-ETHZ-481184/2021	EPI_ISL_1004157	2021-02-04	Europe / Switzerland / Solothurn	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina	V-pipe			B.1.221	G
hCoV-19/Poland/2081240805_gx1/2021	EPI_ISL_1007940	2021-02-03	Europe / Poland / Wielkopolska / Oborniki	Human	Original	Oropharyngeal and nasopharyngeal swab		Oxford Nanopore	ARTICv3			B.1.221	G
hCoV-19/Poland/2142378217_gx1/2021	EPI_ISL_1007955	2021-02-03	Europe / Poland / Wielkopolska / Strykowo	Human	Original	Oropharyngeal and nasopharyngeal swab		Oxford Nanopore	ARTICv3			B.1.221	G
hCoV-19/Poland/2142826229_gx1/2021	EPI_ISL_1007968	2021-02-02	Europe / Poland / Wielkopolska / Przeźmierowo	Human	Original	Oropharyngeal and nasopharyngeal swab		Oxford Nanopore	ARTICv3			B.1.221	G
hCoV-19/Netherlands/GR-RIVM-12277/2021	EPI_ISL_1013802	2021-01-25	Europe / Netherlands / Groningen	Human	Original			Nanopore MinION		Gap of 1 nucleotides when compared to the reference sequence.	info	B.1.221	G
hCoV-19/Netherlands/DR-RIVM-12101/2021	EPI_ISL_1013821	2021-01-25	Europe / Netherlands / Drenthe	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/DR-RIVM-12108/2021	EPI_ISL_1013824	2021-01-26	Europe / Netherlands / Drenthe	Human	Original			Nanopore MinION				B.1	G
hCoV-19/Netherlands/DR-RIVM-12112/2021	EPI_ISL_1013826	2021-01-29	Europe / Netherlands / Drenthe	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/DR-RIVM-12116/2021	EPI_ISL_1013828	2021-01-30	Europe / Netherlands / Drenthe	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/DR-RIVM-12285/2021	EPI_ISL_1013835	2021-01-29	Europe / Netherlands / Drenthe	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/FR-RIVM-12082/2021	EPI_ISL_1013838	2021-01-28	Europe / Netherlands / Friesland	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/GR-RIVM-12121/2021	EPI_ISL_1013900	2021-01-25	Europe / Netherlands / Groningen	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/GR-RIVM-12122/2021	EPI_ISL_1013901	2021-01-25	Europe / Netherlands / Groningen	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/GR-RIVM-12279/2021	EPI_ISL_1013903	2021-01-25	Europe / Netherlands / Groningen	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/GR-RIVM-12291/2021	EPI_ISL_1013907	2021-01-25	Europe / Netherlands / Groningen	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/GR-RIVM-12292/2021	EPI_ISL_1013908	2021-01-25	Europe / Netherlands / Groningen	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12257/2021	EPI_ISL_1013924	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12261/2021	EPI_ISL_1013927	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12263/2021	EPI_ISL_1013928	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12265/2021	EPI_ISL_1013929	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12267/2021	EPI_ISL_1013931	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12268/2021	EPI_ISL_1013932	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12317/2021	EPI_ISL_1013933	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12326/2021	EPI_ISL_1013941	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12360/2021	EPI_ISL_1013945	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12362/2021	EPI_ISL_1013946	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12367/2021	EPI_ISL_1013950	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12369/2021	EPI_ISL_1013951	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12370/2021	EPI_ISL_1013952	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/Netherlands/NB-RIVM-12375/2021	EPI_ISL_1013956	2021-02-04	Europe / Netherlands / Noord-Brabant	Human	Original			Nanopore MinION				B.1.221	G
hCoV-19/USA/OR-PROV-522/2020	EPI_ISL_1017349	2020-06-22	North America / USA / Oregon	Human	Original			Illumina NovaSeq 6000	BWA mem, Freebayes, vcffilter, bcftools consensus (AF >=50%, min DP > 100)			B.1	G
hCoV-19/Denmark/DCGC-44046/2021	EPI_ISL_1024424	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0	Gap of 1 nucleotide(s) found at refpos 26305 (FRAMESHIFT confirmed by the submitter). Gap of 25 nucleotides when compared to the reference sequence. E without BLAST coverage.	info	B.1.525	G
hCoV-19/Denmark/DCGC-44084/2021	EPI_ISL_1024462	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.221	G
hCoV-19/Denmark/DCGC-44087/2021	EPI_ISL_1024465	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0	Gap of 1 nucleotide(s) found at refpos 26305 (FRAMESHIFT confirmed by the submitter). Gap of 25 nucleotides when compared to the reference sequence. E without BLAST coverage.	info	B.1.525	G
hCoV-19/Denmark/DCGC-44100/2021	EPI_ISL_1024478	2021-02-01	Europe / Denmark / Syddanmark	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0	Gap of 1 nucleotide(s) found at refpos 26305 (FRAMESHIFT confirmed by the submitter). Gap of 25 nucleotides when compared to the reference sequence. E without BLAST coverage.	info	B.1.525	G
hCoV-19/Denmark/DCGC-45414/2020	EPI_ISL_1025792	2020-12-21	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.218	G
hCoV-19/Denmark/DCGC-45444/2020	EPI_ISL_1025822	2020-12-21	Europe / Denmark / Sjaelland	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.221	G
hCoV-19/USA/CA-CZB-19711/2020	EPI_ISL_1030438	2020-12-21	North America / USA / California / Santa Clara County	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina Novaseq	minimap2 / iVar			B.1.139	G
hCoV-19/Netherlands/ZH-RIVM-12954/2021	EPI_ISL_1035199	2021-01-29	Europe / Netherlands / Zuid-Holland	Human	Original			Nanopore MinION		Gap of 9 nucleotides when compared to the reference sequence.	info	B.1	GH
hCoV-19/Poland/Pomorskie_MWB_88/2021	EPI_ISL_1041005	2021-01-28	Europe / Poland / Pomorskie	Human	Original			Nanopore MinION	ARTIC / Geneious Prime			B.1.221	G
hCoV-19/Poland/Pomorskie_MWB_89/2021	EPI_ISL_1041006	2021-01-28	Europe / Poland / Pomorskie	Human	Original			Nanopore MinION	ARTIC / Geneious Prime			B.1.221	G
hCoV-19/Poland/Pomorskie_MWB_90/2021	EPI_ISL_1041007	2021-01-28	Europe / Poland / Pomorskie	Human	Original			Nanopore MinION	ARTIC / Geneious Prime			B.1	G
hCoV-19/Poland/Pomorskie_MWB_91/2021	EPI_ISL_1041008	2021-01-28	Europe / Poland / Pomorskie	Human	Original			Nanopore MinION	ARTIC / Geneious Prime			B.1.221	G
hCoV-19/Poland/Pomorskie_MWB_94/2021	EPI_ISL_1041011	2021-01-28	Europe / Poland / Pomorskie	Human	Original			Nanopore MinION	ARTIC / Geneious Prime			B.1.221	G
hCoV-19/Poland/Pomorskie_MWB_95/2021	EPI_ISL_1041012	2021-01-28	Europe / Poland / Pomorskie	Human	Original			Nanopore MinION	ARTIC / Geneious Prime			B.1.221	G
hCoV-19/Poland/Pomorskie_MWB_96/2021	EPI_ISL_1041013	2021-01-28	Europe / Poland / Pomorskie	Human	Original			Nanopore MinION	ARTIC / Geneious Prime			B.1.221	G
hCoV-19/Poland/Pomorskie_MWB_99/2021	EPI_ISL_1041016	2021-01-28	Europe / Poland / Pomorskie	Human	Original			Nanopore MinION	ARTIC / Geneious Prime			B.1.221	G
hCoV-19/Poland/0013WSN/2021	EPI_ISL_1048414	2021-02-01	Europe / Poland / Warminsko-Mazurskie / Ostrodzki	Human	Original	Nasopharyngeal and oropharyngeal swab		Oxford Nanopore	ARTICv3			B.1.221	G
hCoV-19/Poland/0016WSN/2021	EPI_ISL_1048417	2021-02-01	Europe / Poland / Warminsko-Mazurskie / Ostrodzki	Human	Original	Nasopharyngeal and oropharyngeal swab		Oxford Nanopore	ARTICv3			B.1.221	G
hCoV-19/Poland/0026WSN/2021	EPI_ISL_1048427	2021-02-02	Europe / Poland / Warminsko-Mazurskie / Olsztynski	Human	Original	Nasopharyngeal and oropharyngeal swab		Oxford Nanopore	ARTICv3			B.1	G
hCoV-19/Spain/VC-IBV-98016240/2021	EPI_ISL_1060274	2021-01-29	Europe / Spain / Comunitat Valenciana / Villajoyosa	Human	Original			Illumina MiSeq	BWA/IVAR			B.1.221	G
hCoV-19/Denmark/DCGC-46737/2020	EPI_ISL_1066247	2020-12-14	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.221	G
hCoV-19/Denmark/DCGC-46784/2021	EPI_ISL_1066294	2021-02-15	Europe / Denmark / Sjaelland	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.221	G
hCoV-19/Denmark/DCGC-46907/2021	EPI_ISL_1066418	2021-02-08	Europe / Denmark / Nordjylland	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.221	G
hCoV-19/Denmark/DCGC-46917/2021	EPI_ISL_1066428	2021-02-01	Europe / Denmark / Syddanmark	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.221	G
hCoV-19/Sweden/SUS0000024/2021	EPI_ISL_1081866	2021-02-01	Europe / Sweden / Skane	Human	Original			Illumina NextSeq	bwa + iVar trim + iVar consensus			B.1	G
hCoV-19/Sweden/SUS0000029/2021	EPI_ISL_1081871	2021-02-01	Europe / Sweden / Skane	Human	Original			Illumina NextSeq	bwa + iVar trim + iVar consensus			B.1.221	G
hCoV-19/Sweden/SUS0000069/2021	EPI_ISL_1081911	2021-02-11	Europe / Sweden / Skane	Human	Original			Illumina NextSeq	bwa + iVar trim + iVar consensus			B.1.221	G
hCoV-19/Sweden/SUS0000090/2021	EPI_ISL_1081944	2021-02-09	Europe / Sweden / Skane	Human	Original			Illumina NextSeq	bwa + iVar trim + iVar consensus			B.1.221	G
hCoV-19/Romania/Isolate212IAIUd/2020	EPI_ISL_1081954	2020-12-03	Europe / Romania / Bucharest	Human	Original	Oropharyngeal swab		Illumina MiSeq	Dragen v3.5.7			B.1	G
hCoV-19/Finland/HEL-17-523/2021	EPI_ISL_1081979	2021-01-25	Europe / Finland / Uusimaa	Human	Original			Illumina MiSeq	BWA-MEM	NS8_Q27stop results in 78.5% truncation of the protein sequence. Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.1.161	O
hCoV-19/Netherlands/Blaricum_1364780/2020	EPI_ISL_413566	2020-03-02	Europe / Netherlands / Noord-Holland / Blaricum	Human	Original			Nanopore				B.1	G
hCoV-19/Netherlands/Zeewolde_1365080/2020	EPI_ISL_413591	2020-03-02	Europe / Netherlands / Flevoland / Zeewolde	Human	Original			Nanopore				B.1	G
hCoV-19/South Africa/R03006/2020	EPI_ISL_417186	2020-03-07	Africa / South Africa / KwaZulu-Natal	Human	Original	Nasopharyngeal and oropharyngeal swab		Illumina MiSeq	Mapping to reference			B.1	G
hCoV-19/England/20104004902/2020	EPI_ISL_417226	2020-03-02	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/England/20104008402/2020	EPI_ISL_417228	2020-03-03	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/England/20104008802/2020	EPI_ISL_417231	2020-03-03	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/England/20106004803/2020	EPI_ISL_417240	2020-03-03	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/England/20108007002/2020	EPI_ISL_417255	2020-03-04	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/England/20108007402/2020	EPI_ISL_417257	2020-03-03	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/England/20109050506/2020	EPI_ISL_417266	2020-03-05	Europe / United Kingdom / England	Human	Original			Illumina NextSeq	PHE pipeline (BWA-SAMtools-Quasibam)			B.1	G
hCoV-19/France/ARA-09686/2020	EPI_ISL_418417	2020-03-16	Europe / France / Auvergne-Rhone-Alpes / Valence	Human	Original	Nasopharyngeal swab		Illumina NextSeq	bwa, samtools, custom			B.1	G
