Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Scotland/EDB563/2020	EPI_ISL_426022	2020-03-31	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore GridION				B.1.1	GR
hCoV-19/Czech Republic/Seq3/2020	EPI_ISL_426356	2020-03-21	Europe / Czech Republic / Central Czechia and Prague	Human	Original	Nasopharyngeal swab		Illumina MiSeq, 2x300bp	Geneious			B.1.1	GR
hCoV-19/Czech Republic/Seq5/2020	EPI_ISL_426358	2020-03-19	Europe / Czech Republic / Central Czechia and Prague	Human	Original	Nasopharyngeal swab		Illumina MiSeq, 2x300bp	Geneious			B.1.1	GR
hCoV-19/USA/NY-NYUMC171/2020	EPI_ISL_426626	2020-04-01	North America / USA / New York / Brooklyn	Human	Original			Ribo-depleted, Illumina Novaseq	bwa/0.7.17, mapped to NC_045512v2, bases below 30x coverage masked			B.1.1.1	GR
hCoV-19/Australia/VIC354/2020	EPI_ISL_426662	2020-03-21	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v1 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1.1	GR
hCoV-19/Australia/VIC377/2020	EPI_ISL_426684	2020-03-22	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v1 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Australia/VIC409/2020	EPI_ISL_426711	2020-03-26	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Australia/VIC438/2020	EPI_ISL_426735	2020-03-26	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10	Gap of 3 nucleotides when compared to the reference sequence.	info	B.1.1	GR
hCoV-19/Australia/VIC443/2020	EPI_ISL_426740	2020-03-27	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Australia/VIC603/2020	EPI_ISL_426858	2020-03-26	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 500	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Australia/VIC483/2020	EPI_ISL_426914	2020-03-29	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1.1	GR
hCoV-19/Australia/VIC487/2020	EPI_ISL_426918	2020-03-29	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Australia/VIC658/2020	EPI_ISL_426954	2020-03-28	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Australia/VIC664/2020	EPI_ISL_426960	2020-03-27	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1.8	GR
hCoV-19/Australia/VIC674/2020	EPI_ISL_426970	2020-03-27	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Australia/VIC693/2020	EPI_ISL_426985	2020-03-27	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1.1	GR
hCoV-19/DRC/1376/2020	EPI_ISL_431012	2020-04-07	Africa / Democratic Republic of the Congo / Kinshasa	Human	Original			Illumina MiSeq	iVar	Stretches of NNNs (1.78% of overall sequence).		C.8	GR
hCoV-19/Romania/278406/2020	EPI_ISL_445220	2020-04-30	Europe / Romania / Bucharest	Human	Original	Nasopharyngeal swab		Illumina MiSeq	DNAStar			B.1.1	GR
hCoV-19/Chile/RM-ISPCH-12/2020	EPI_ISL_445255	2020-03-10	South America / Chile / Region Metropolitana de Santiago / Santiago	Human	Original	Throat swab		Illumina MiSeq	IRMA v0.9.3			B.1.1.10	GR
hCoV-19/Chile/RM-ISPCH-21/2020	EPI_ISL_445264	2020-03-12	South America / Chile / Region Metropolitana de Santiago / Santiago	Human	Original	Throat swab		Illumina MiSeq	IRMA v0.9.3			B.1.1.10	GR
hCoV-19/Wales/PHWC-2A49B/2020	EPI_ISL_445571	2020-04-05	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1.1.289	GR
hCoV-19/Wales/PHWC-2A57A/2020	EPI_ISL_445585	2020-04-07	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1.1.289	GR
hCoV-19/Wales/PHWC-2A60E/2020	EPI_ISL_445594	2020-04-06	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1.1.289	GR
hCoV-19/Wales/PHWC-2A61D/2020	EPI_ISL_445595	2020-04-06	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1.1.289	GR
hCoV-19/Wales/PHWC-2A8CC/2020	EPI_ISL_445632	2020-04-07	Europe / United Kingdom / Wales	Human	Original	Dry swab		Illumina	Mapping consensus			B.1.1.369	GR
