Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/England/MILK-121AFA7/2021	EPI_ISL_1006657	2021-02-01	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq				B.1.177	GV
hCoV-19/England/MILK-1231EBC/2021	EPI_ISL_1012426	2021-02-03	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS3_G254stop results in 8.0% truncation of the protein sequence.	info	B.1.177	GV
hCoV-19/England/MILK-1231E9E/2021	EPI_ISL_1012435	2021-02-03	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS3_G254stop results in 8.0% truncation of the protein sequence.	info	B.1.177	GV
hCoV-19/England/MILK-1231F6E/2021	EPI_ISL_1012510	2021-02-03	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq		NS3_G254stop results in 8.0% truncation of the protein sequence.	info	B.1.177	GV
hCoV-19/Denmark/DCGC-42854/2021	EPI_ISL_1023132	2021-02-08	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-42907/2021	EPI_ISL_1023185	2021-02-08	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44034/2021	EPI_ISL_1024412	2021-02-01	Europe / Denmark / Syddanmark	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44068/2021	EPI_ISL_1024446	2021-02-01	Europe / Denmark / Sjaelland	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44069/2021	EPI_ISL_1024447	2021-02-01	Europe / Denmark / Sjaelland	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44082/2021	EPI_ISL_1024460	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44119/2021	EPI_ISL_1024497	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44120/2021	EPI_ISL_1024498	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44152/2021	EPI_ISL_1024530	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44239/2021	EPI_ISL_1024617	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-44241/2021	EPI_ISL_1024619	2021-02-01	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-45333/2020	EPI_ISL_1025711	2020-12-21	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-45350/2020	EPI_ISL_1025728	2020-12-21	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
hCoV-19/Denmark/DCGC-45363/2020	EPI_ISL_1025741	2020-12-21	Europe / Denmark / Hovedstaden	Human	Original			Oxford Nanopore	ARTIC-ncov2019 v1.1.0			B.1.177.21	GV
