Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/South Korea/KUMC03/2020	EPI_ISL_413513	2020-02-27	Asia / South Korea	Human	Original	Nasopharyngeal swab		Illumina Miseq	CLC Genomics workbench 10			A	S
hCoV-19/South Korea/KUMC04/2020	EPI_ISL_413514	2020-02-27	Asia / South Korea	Human	Vero P1	Nasopharyngeal swab		Illumina Miseq	CLC Genomics workbench 10			A	S
hCoV-19/South Korea/KUMC05/2020	EPI_ISL_413515	2020-02-27	Asia / South Korea	Human	Original	Nasopharyngeal swab		Illumina Miseq	CLC Genomics workbench 10			A	S
hCoV-19/South Korea/KUMC06/2020	EPI_ISL_413516	2020-02-27	Asia / South Korea	Human	Vero P1	Nasopharyngeal swab		Illumina Miseq	CLC Genomics workbench 10			A	S
hCoV-19/Beijing/105/2020	EPI_ISL_413518	2020-01-26	Asia / China / Beijing	Human	unknown			MGISEQ2000	IDBA v. 1.1.3			A	S
hCoV-19/Beijing/231/2020	EPI_ISL_413519	2020-01-28	Asia / China / Beijing	Human	unknown			MGISEQ2000	IDBA v. 1.1.3			A	S
hCoV-19/Beijing/233/2020	EPI_ISL_413520	2020-01-28	Asia / China / Beijing	Human	unknown			MGISEQ2000	IDBA v. 1.1.3			A	S
hCoV-19/Beijing/235/2020	EPI_ISL_413521	2020-01-28	Asia / China / Beijing	Human	unknown			MGISEQ2000	IDBA v. 1.1.3			A	S
hCoV-19/India/1-27/2020	EPI_ISL_413522	2020-01-27	Asia / India / Kerala	Human	Original	Throat swab	Travel history to China	Illumina Miniseq	CLC Genomics Workbench 11	Gap of 3 nucleotides when compared to the reference sequence.		B	L
hCoV-19/India/1-31/2020	EPI_ISL_413523	2020-01-31	Asia / India / Kerala	Human	Original	Throat Swab	Travel history to China	Illumina Miniseq	CLC Genomics Workbench 11			A	S
hCoV-19/Wales/PHW1/2020	EPI_ISL_413555	2020-02-27	Europe / United Kingdom / Wales	Human	Original							B.1	G
hCoV-19/Wales/PHW2/2020	EPI_ISL_413556	2020-03-04	Europe / United Kingdom / Wales	Human	Original							B.1.1.1	GR
hCoV-19/USA/CA-CDPH-UC1/2020	EPI_ISL_413557	2020-02-28	North America / USA / California / Sonoma County	Human	Original			Illumina NextSeq with MSSPE	Geneious 11.1.3			A.1	S
hCoV-19/USA/CA-CDPH-UC2/2020	EPI_ISL_413558	2020-02-27	North America / USA / California / Solano County	Human	Original	Nasopharyngeal swab, oropharyngeal swab	health care worker taking care of UC4 (EPI_ISL_413561)	Illumina NextSeq with MSSPE	Geneious 11.1.3			B	L
