Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/India/MH-ICMR-C1047/2020	EPI_ISL_1055768	2020-03-19	Asia / India / Maharashtra	Human	Original	Oropharyngeal swab		Illumina MiniSeq	CLC Genomics Workbench 11.0			B.1.1	GR
hCoV-19/France/ARA-10282/2020	EPI_ISL_418428	2020-03-17	Europe / France / Auvergne-Rhone-Alpes / Vienne	Human	Original	Nasopharyngeal swab		Illumina NextSeq	bwa, samtools, custom			B.1.1	GR
hCoV-19/Australia/VIC574/2020	EPI_ISL_426833	2020-03-26	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Australia/VIC597/2020	EPI_ISL_426854	2020-03-25	Oceania / Australia / Victoria	Human	Original			Illumina NextSeq 550	ARTIC v3 amplicons, NexteraXT library, minimap2 v2.17, ivar v1.2, samtools v1.10			B.1.1	GR
hCoV-19/Sweden/20-50132/2020	EPI_ISL_429143	2020-03-06	Europe / Sweden / Varmland	Human	Original			Ion Torrent S5 XL, Ion AmpliSeq SARS-CoV-2	Torrent suite variantCaller with fill from reference and majority wins			B.1.1	GR
hCoV-19/England/CAMB-7C658/2020	EPI_ISL_442246	2020-04-06	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq				B.1.1	GR
hCoV-19/England/CAMB-7D4F3/2020	EPI_ISL_442266	2020-04-06	Europe / United Kingdom / England	Human	Original			Illumina NovaSeq				B.1.1	GR
hCoV-19/England/CAMB-8223D/2020	EPI_ISL_443487	2020-04-12	Europe / United Kingdom / England	Human	Original		unknown	Illumina NovaSeq				B.1.1	GR
hCoV-19/England/LOND-D5286/2020	EPI_ISL_449696	2020-04-15	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1	GR
hCoV-19/Finland/5A44S2/2020	EPI_ISL_481686	2020-04-05	Europe / Finland / Uusimaa	Human	Original	Nasopharyngeal swab		Illumina MiSeq	BWA-MEM			B.1.1	GR
hCoV-19/England/ALDP-981059/2020	EPI_ISL_526352	2020-08-09	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.51	GR
hCoV-19/England/LIVE-A9713/2020	EPI_ISL_526386	2020-07-22	Europe / United Kingdom / England	Human	Original			Illumina				B.1.1.51	GR
hCoV-19/England/LIVE-A9722/2020	EPI_ISL_526387	2020-07-22	Europe / United Kingdom / England	Human	Original			Illumina				B.1.1.51	GR
hCoV-19/England/LIVE-A9731/2020	EPI_ISL_526388	2020-07-22	Europe / United Kingdom / England	Human	Original			Illumina				B.1.1.51	GR
hCoV-19/England/LIVE-A9740/2020	EPI_ISL_526389	2020-07-04	Europe / United Kingdom / England	Human	Original			Illumina				B.1.1.51	GR
hCoV-19/England/LIVE-A975F/2020	EPI_ISL_526390	2020-07-08	Europe / United Kingdom / England	Human	Original			Illumina				B.1.1.51	GR
hCoV-19/England/LIVE-A976E/2020	EPI_ISL_526391	2020-07-18	Europe / United Kingdom / England	Human	Original			Illumina				B.1.1	GR
hCoV-19/England/LIVE-A979B/2020	EPI_ISL_526393	2020-07-26	Europe / United Kingdom / England	Human	Original			Illumina				B.1.1.51	GR
