genome	path	time	node	host
279_2005.Bat-R_macrotis.Hubei.DQ648857.2004-11	0.1101415639	2004.87158469945	4	Bat
Anlong-103.Bat-R_sinicus.Guizhou-Anlong.KY770858.2013	0.0841045708	2013.5	7	Bat
Anlong-112.Bat-R_sinicus.Guizhou-Anlong.KY770859.2013	0.0835344787	2013.5	7	Bat
As6526.Bat-Aselliscus_stoliczkanus.Yunnan-Kunming.KY417142.2014-05-12	0.0856212831	2014.35890410959	10	Bat
F46.Bat-R_pusillus.Yunnan.KU973692.2012	0.0806728962	2012.5	2	Bat
GX2013.Bat-R_sinicus.Guangxi.KJ473815.2012-11	0.1083675236	2012.87158469945	7	Bat
HeB2013.Bat-R_ferrumequinum.Hebei.KJ473812.2013-04	0.1198046808	2013.28493150685	6	Bat
HKU3-11.Bat-R_sinicus.Hong_King.GQ153546.2007-03-07	0.1143565192	2007.17808219178	10	Bat
HKU3-12.Bat-R_sinicus.Hong_Kong.GQ153547.2007-05-15	0.1161623443	2007.36712328767	4	Bat
HKU3-13.Bat-R_sinicus.Hong_Kong.GQ153548.2007-11-15	0.1146018945	2007.87123287671	9	Bat
HKU3-3.Bat-R_sinicus.Hong_Kong.DQ084200.2005-03-17	0.1138838144	2005.20547945205	5	Bat
HKU3-4.Bat-R_sinicus.Hong_Kong.GQ153539.2005-07-20	0.1140295172	2005.54794520548	8	Bat
HKU3-5.Bat-R_sinicus.Hong_Kong.GQ153540.2005-09-20	0.1137874385	2005.71780821918	7	Bat
HKU3-6.Bat-R_sinicus.Hong_Kong.GQ153541.2005-12-16	0.1141880258	2005.95616438356	6	Bat
HKU3-7.Bat-R_sinicus.Guangdong.GQ153542.2006-02-15	0.1118636962	2006.12328767123	4	Bat
HKU3-8.Bat-R_sinicus.Guangdong.GQ153543.2006-02-15	0.1120346823	2006.12328767123	4	Bat
HKU3-9.Bat-R_sinicus.Hong_Kong.GQ153544.2006-10-28	0.1141956068	2006.82191780822	10	Bat
HuB2013.Bat-Bat-R_sinicus.Hubei.KJ473814.2013-04	0.0952386323	2013.28493150685	3	Bat
Jiyuan-84.Bat-R_ferrumequinum.Henan-Jiyuan.KY770860.2012	0.1216759016	2012.5	5	Bat
JL2012.Bat-R_ferrumequinum.Jilin.KJ473811.2012-10	0.1272208658	2012.78961748634	5	Bat
JTMC15.Bat-R_ferrumequinum.Jilin.KU182964.2013-10	0.1279107883	2013.78904109589	5	Bat
Longquan_140.Bat-R_monoceros.China.KF294457.2012	0.1133070659	2012.5	2	Bat
LYRa11.Bat-R_affinis.Yunnan-Baoshan.KF569996.2011	0.0929107906	2011.5	2	Bat
Rf4092.Bat-R_ferrumequinum.Yunnan-Kunming.KY417145.2012-09-18	0.0839263761	2012.7131147541	7	Bat
Rm1.Bat-R_macrotis.Hubei.DQ412043.2004-11	0.111434049	2004.87158469945	4	Bat
Rp3.Bat-R_pearsoni.Guangxi-Nanning.DQ071615.2004-12	0.1015499953	2004.95628415301	7	Bat
RpShaanxi2011.Bat-R_pusillus.Shaanxi.JX993987.2011-09	0.1063358463	2011.70410958904	3	Bat
Rs3367.Bat-R_sinicus.Yunnan-Kunming.KC881006.2012-03-19	0.0827401352	2012.2131147541	10	Bat
Rs4081.Bat-R_sinicus.Yunnan-Kunming.KY417143.2012-09-18	0.0898756589	2012.7131147541	12	Bat
Rs4084.Bat-R_sinicus.Yunnan-Kunming.KY417144.2012-09-18	0.0833104069	2012.7131147541	8	Bat
Rs4231.Bat-R_sinicus.Yunnan-Kunming.KY417146.2013-04-17	0.0870888478	2013.2904109589	10	Bat
Rs4237.Bat-R_sinicus.Yunnan-Kunming.KY417147.2013-04-17	0.0861254183	2013.2904109589	9	Bat
Rs4247.Bat-R_sinicus.Yunnan-Kunming.KY417148.2013-04-17	0.0879262469	2013.2904109589	11	Bat
Rs4255.Bat-R_sinicus.Yunnan-Kunming.KY417149.2013-04-17	0.0833899177	2013.2904109589	9	Bat
Rs4874.Bat-R_sinicus.Yunnan-Kunming.KY417150.2013-07-21	0.090927161	2013.55068493151	13	Bat
Rs672.Bat-R_sinicus.Guizhou.FJ588686.2006-09	0.083798293	2006.70410958904	5	Bat
Rs7327.Bat-R_sinicus.Yunnan--Kunming.KY417151.2014-10-24	0.0837595736	2014.81095890411	7	Bat
Rs9401.Bat-R_sinicus.Yunnan-Kunming.KY417152.2015-10-16	0.0811148582	2015.78904109589	8	Bat
RsSHC014.Bat-R_sinicus.Yunnan-Kunming.KC881005.2011-04-17	0.083520257	2011.2904109589	8	Bat
SX2013.Bat-R_ferrumequinum.Shanxi.KJ473813.2013-11	0.1225610952	2013.87123287671	6	Bat
WIV1.Bat-R_sinicus.Yunnan-Kunming.KF367457.2012-09	0.0829907834	2012.70491803279	10	Bat
WIV16.Bat-R_sinicus.Yunnan-Kunming.KT444582.2013-07-21	0.0908410726	2013.55068493151	13	Bat
YN2013.Bat-R_sinicus.Yunnan.KJ473816.2010-12	0.0815978196	2010.95616438356	7	Bat
YN2018A.Bat-R_affinis.Yunnan.MK211375.2016-09	0.0842326802	2016.70491803279	6	Bat
YN2018B.Bat-R_affinis.Yunnan.MK211376.2016-09	0.0841380869	2016.70491803279	11	Bat
YN2018C.Bat-R_affinis.Yunnan-Kunming.MK211377.2016-09	0.0826080379	2016.70491803279	9	Bat
YN2018D.Bat-R_affinis.Yunnan.MK211378.2016-09	0.0888055781	2016.70491803279	11	Bat
YNLF_31C.Bat-R_Ferrumequinum.Yunnan-Lufeng.KP886808.2013-05-23	0.089060697	2013.38904109589	4	Bat
YNLF_34C.Bat-R_Ferrumequinum.Yunnan-Lufeng.KP886809.2013-05-23	0.0898816258	2013.38904109589	4	Bat
Yunnan2011.Bat-Chaerephon_plicata.Yunnan.JX993988.2011-11	0.094563774	2011.87123287671	2	Bat
