genome	path	time	node	b117
EPI_ISL_1000042	0.001410223	2021.06301369863	108	1
EPI_ISL_1000070	0.00146104	2021.0904109589	76	1
EPI_ISL_1000073	0.000769678	2021.07671232877	44	0
EPI_ISL_1000193	0.001326724	2021.08767123288	68	1
EPI_ISL_1000195	0.001360067	2021.08767123288	59	1
EPI_ISL_1000258	0.001225738	2021.02465753425	79	1
EPI_ISL_1000455	0.001325624	2021.06301369863	87	1
EPI_ISL_1000750	0.001259497	2021.09315068493	66	1
EPI_ISL_1000861	0.001292802	2021.08767123288	66	1
EPI_ISL_1000868	0.001393312	2021.08767123288	110	1
EPI_ISL_1000891	0.000903261	2021.05479452055	55	0
EPI_ISL_1000913	0.001192802	2021.04931506849	83	1
EPI_ISL_1000935	0.001192717	2021.08493150685	65	1
EPI_ISL_1001012	0.000836354	2021.07397260274	47	0
EPI_ISL_1001035	0.000881412	2021.09589041096	41	0
EPI_ISL_1001087	0.000278878	2020.31693989071	37	0
EPI_ISL_1001302	0.001192419	2021.07671232877	57	1
EPI_ISL_1001337	0.001426477	2021.06849315068	110	1
EPI_ISL_1001423	0.001154955	2021.06849315068	52	0
EPI_ISL_1002233	0.001173627	2021.02739726027	54	0
EPI_ISL_1002274	0.001074497	2021.04931506849	60	0
EPI_ISL_1002304	0.001140818	2021.07671232877	53	0
EPI_ISL_1002348	0.000750668	2021.02191780822	42	0
EPI_ISL_1002371	0.000750357	2021.01095890411	44	0
EPI_ISL_1002414	0.000869714	2021.01369863014	56	0
EPI_ISL_1002424	0.001188487	2021.01369863014	65	0
EPI_ISL_1002443	0.000802724	2021.01369863014	47	0
EPI_ISL_1002494	0.001221844	2021.01917808219	64	0
EPI_ISL_1002508	0.000880829	2021.01917808219	51	0
EPI_ISL_1002510	0.001189773	2021.01917808219	57	0
EPI_ISL_1002511	0.000750389	2021.01917808219	39	0
EPI_ISL_1002530	0.000836271	2021.01917808219	56	0
EPI_ISL_1002565	0.000736085	2021.01917808219	51	0
EPI_ISL_1002587	0.000802731	2021.01917808219	44	0
EPI_ISL_1002603	0.001188516	2021.02191780822	69	0
EPI_ISL_1002608	0.000702438	2021.02191780822	41	0
EPI_ISL_1002671	0.000802707	2021.02465753425	43	0
EPI_ISL_1002684	0.000869631	2021.02465753425	50	0
EPI_ISL_1002746	0.000802817	2021.02465753425	49	0
EPI_ISL_1002827	0.000947813	2021.02739726027	44	0
EPI_ISL_1002854	0.000735883	2021.0301369863	44	0
EPI_ISL_1002908	0.001189209	2021.03287671233	62	0
EPI_ISL_1002936	0.000836273	2021.03561643836	59	0
EPI_ISL_1003002	0.000717058	2021.03835616438	59	0
EPI_ISL_1003081	0.00087115	2021.04109589041	39	0
EPI_ISL_1003105	0.001288968	2021.04383561644	64	0
EPI_ISL_1003133	0.000802907	2021.04657534247	51	0
EPI_ISL_1003148	0.000947795	2021.04657534247	61	0
EPI_ISL_1003205	0.000914162	2021.04657534247	44	0
EPI_ISL_1003298	0.000602469	2021.05205479452	40	0
EPI_ISL_1003332	0.000770010999999999	2021.05205479452	50	0
EPI_ISL_1003357	0.001054739	2021.05205479452	60	0
EPI_ISL_1003368	0.000836237	2021.05205479452	56	0
EPI_ISL_1003385	0.001155413	2021.05479452055	66	0
EPI_ISL_1003435	0.000836415	2021.05479452055	44	0
EPI_ISL_1003506	0.000817223	2021.05753424658	48	0
EPI_ISL_1003579	0.001188511	2021.06301369863	68	0
EPI_ISL_1003595	0.001221757	2021.06301369863	48	0
EPI_ISL_1003601	0.001155083	2021.06301369863	65	0
EPI_ISL_1003627	0.000936595	2021.06575342466	57	0
EPI_ISL_1003671	0.00116608	2021.06575342466	55	0
EPI_ISL_1003672	0.000880809	2021.06575342466	51	0
EPI_ISL_1003676	0.001155108	2021.06575342466	69	0
EPI_ISL_1003713	0.000783775	2021.06575342466	48	0
EPI_ISL_1003727	0.001222155	2021.06849315068	66	0
EPI_ISL_1003796	0.000903039	2021.07123287671	61	0
EPI_ISL_1003801	0.000918116	2021.07123287671	47	0
EPI_ISL_1003842	0.001288852	2021.07671232877	69	0
EPI_ISL_1003844	0.000783883	2021.07671232877	39	0
EPI_ISL_1003886	0.000716899	2021.07945205479	42	0
EPI_ISL_1003959	0.00086966	2021.08493150685	60	0
EPI_ISL_1003995	0.001221874	2021.08493150685	49	0
EPI_ISL_1004093	0.000769414	2021.08767123288	51	0
EPI_ISL_1004100	0.000735954	2021.08767123288	49	0
EPI_ISL_1004163	0.000769325	2021.09315068493	43	0
EPI_ISL_1004283	0.000836731	2021.01643835616	53	0
EPI_ISL_1004290	0.000735803	2021.01643835616	29	0
EPI_ISL_1004348	0.000635539	2021.01095890411	36	0
EPI_ISL_1004413	0.001037105	2021.00821917808	53	0
EPI_ISL_1004456	0.000836272	2021.00821917808	50	0
EPI_ISL_1004461	0.000802871	2021.00821917808	50	0
EPI_ISL_1004469	0.000970016	2021.00821917808	57	0
EPI_ISL_1004532	0.001255258	2021.00547945205	53	0
EPI_ISL_1004619	0.000769278	2021.00273972603	50	0
EPI_ISL_1004744	0.000872939	2020.99453551913	50	0
EPI_ISL_1004786	0.001188493	2020.99453551913	67	0
EPI_ISL_1004804	0.000847325	2020.99453551913	60	0
EPI_ISL_1004829	0.001221912	2020.99180327869	63	0
EPI_ISL_1004871	0.001054805	2020.99180327869	68	0
EPI_ISL_1004901	0.000635533	2020.98907103825	38	0
EPI_ISL_1004911	0.00112166	2020.98907103825	65	0
EPI_ISL_1004925	0.00091775	2020.98907103825	40	0
EPI_ISL_1004938	0.00098448	2020.98907103825	48	0
EPI_ISL_1004941	0.000802771	2020.98907103825	45	0
EPI_ISL_1004958	0.000836159	2020.98907103825	43	0
EPI_ISL_1005512	0.000616704	2021.06575342466	51	0
EPI_ISL_1005656	0.000684133000000001	2020.95628415301	65	0
EPI_ISL_1005757	0.001266906	2021.10684931507	57	1
EPI_ISL_1005795	0.001292826	2021.10684931507	70	1
EPI_ISL_1005883	0.001293432	2021.10136986301	86	1
EPI_ISL_1005945	0.001259324	2021.10410958904	61	1
EPI_ISL_1005947	0.001443625	2021.02191780822	64	1
EPI_ISL_1005970	0.001426785	2021.09315068493	111	1
EPI_ISL_1006033	0.001226948	2021.10136986301	75	1
EPI_ISL_1006037	0.000769406	2021.09315068493	44	0
EPI_ISL_1006040	0.001293134	2021.09315068493	71	1
EPI_ISL_1006161	0.001359707	2021.10136986301	111	1
EPI_ISL_1006162	0.00129296	2021.0904109589	58	1
EPI_ISL_1006168	0.001293357	2021.10410958904	77	1
EPI_ISL_1006217	0.001393774	2021.10410958904	74	1
EPI_ISL_1006244	0.001460637	2021.10410958904	59	1
EPI_ISL_1006271	0.001326358	2021.09589041096	59	1
EPI_ISL_1006288	0.001325614	2021.09589041096	87	1
EPI_ISL_1006296	0.001158971	2021.09589041096	65	1
EPI_ISL_1006338	0.001494154	2021.09589041096	70	1
EPI_ISL_1006348	0.00132646	2021.07123287671	61	1
EPI_ISL_1006391	0.001292716	2021.07123287671	64	1
EPI_ISL_1006392	0.00084756	2021.07397260274	50	0
EPI_ISL_1006393	0.001259263	2021.07397260274	76	1
EPI_ISL_1006433	0.001292778	2021.07397260274	77	1
EPI_ISL_1006489	0.001327101	2021.07123287671	72	1
EPI_ISL_1006521	0.001394042	2021.07123287671	80	1
EPI_ISL_1006690	0.001259554	2021.08493150685	69	1
EPI_ISL_1006697	0.001392905	2021.08493150685	117	1
EPI_ISL_1006703	0.001443615	2021.08493150685	64	1
EPI_ISL_1006751	0.001293449	2021.08493150685	83	1
EPI_ISL_1006771	0.001192609	2021.08493150685	63	1
EPI_ISL_1006937	0.001359715	2021.09315068493	79	1
EPI_ISL_1006957	0.001527754	2021.08493150685	58	1
EPI_ISL_1006969	0.001360031	2021.08493150685	57	1
EPI_ISL_1007019	0.001360444	2021.08493150685	69	1
EPI_ISL_1007023	0.001392949	2021.08493150685	70	1
EPI_ISL_1007073	0.001292781	2021.08493150685	56	1
EPI_ISL_1007077	0.001326462	2021.08493150685	69	1
EPI_ISL_1007158	0.001292979	2021.08493150685	58	1
EPI_ISL_1007184	0.001393058	2021.09863013699	120	1
EPI_ISL_1007294	0.001292796	2021.09589041096	76	1
EPI_ISL_1007332	0.001292866	2021.09589041096	62	1
EPI_ISL_1007361	0.001225806	2021.09863013699	62	1
EPI_ISL_1007412	0.0012258	2021.09589041096	56	1
EPI_ISL_1007506	0.001363664	2021.09315068493	97	1
EPI_ISL_1007649	0.001313645	2021.04931506849	75	1
EPI_ISL_1007723	0.001192605	2021.02465753425	59	1
EPI_ISL_1007806	0.001293076	2021.03561643836	62	1
EPI_ISL_1007832	0.001263024	2021.03287671233	99	1
EPI_ISL_1007856	0.000702562	2021.01917808219	51	0
EPI_ISL_1008045	0.001155093	2021	60	0
EPI_ISL_1008189	0.000802827	2021	52	0
EPI_ISL_1008194	0.001237208	2021.05479452055	73	1
EPI_ISL_1008199	0.001259357	2021.04931506849	60	1
EPI_ISL_1008217	0.001118487	2021.05479452055	48	0
EPI_ISL_1008218	0.00107322	2021.05479452055	57	0
EPI_ISL_1008244	0.000949872	2021.05753424658	48	0
EPI_ISL_1008245	0.001426633	2021.05753424658	102	1
EPI_ISL_1008254	0.000817213	2020.91530054645	47	0
EPI_ISL_1008343	0.001381918	2021.08767123288	70	1
EPI_ISL_1008375	0.001222005	2020.99726775956	62	0
EPI_ISL_1008434	0.000802872	2020.98633879781	56	0
EPI_ISL_1008484	0.000903799	2021.06575342466	49	0
EPI_ISL_1008493	0.001288691	2021.07123287671	50	0
EPI_ISL_1008537	0.001103785	2021.06575342466	56	0
EPI_ISL_1008590	0.000736172	2021.06575342466	44	0
EPI_ISL_1008676	0.00130455	2021.0904109589	86	1
EPI_ISL_1008679	0.001393788	2021.0904109589	75	1
EPI_ISL_1008985	0.00129656	2021.03835616438	99	1
EPI_ISL_1009034	0.000836277	2021.03561643836	40	0
EPI_ISL_1009039	0.000836316	2021.03561643836	42	0
EPI_ISL_1009083	0.000669086	2021.0602739726	39	0
EPI_ISL_1009098	0.001393512	2021.05479452055	67	1
EPI_ISL_1009117	0.001192625	2021.05753424658	59	1
EPI_ISL_1009168	0.000713709	2020.8606557377	59	0
EPI_ISL_1009245	0.00078063	2020.95628415301	72	0
EPI_ISL_1009252	0.000847534	2020.94262295082	70	0
EPI_ISL_1009304	0.000356957	2020.25409836066	43	0
EPI_ISL_1009383	0.000516339	2020.30601092896	46	0
EPI_ISL_1009404	0.00031241	2020.32513661202	46	0
EPI_ISL_1009422	0.000583242	2020.3606557377	46	0
EPI_ISL_1009448	0.000954369	2020.92076502732	58	0
EPI_ISL_1009537	0.000947842	2020.97540983607	64	0
EPI_ISL_1009639	0.000635802	2021.07671232877	41	0
EPI_ISL_1009652	0.000817359	2021.07671232877	50	0
EPI_ISL_1009861	0.000981161	2021.07123287671	64	0
EPI_ISL_1011692	0.000713627	2021.04383561644	50	0
EPI_ISL_1011732	0.000646898	2021.05479452055	45	0
EPI_ISL_1011874	0.001259943	2021.10410958904	83	1
EPI_ISL_1011913	0.001302055	2021.09863013699	94	1
EPI_ISL_1011952	0.001469956	2021.10136986301	72	1
EPI_ISL_1011982	0.001327092	2021.10410958904	87	1
EPI_ISL_1012092	0.001293818	2021.10410958904	104	1
EPI_ISL_1012121	0.001192288	2021.10410958904	61	1
EPI_ISL_1012150	0.001393137	2021.10684931507	57	1
EPI_ISL_1012157	0.001326023	2021.10684931507	94	1
EPI_ISL_1012181	0.001259318	2021.10684931507	60	1
EPI_ISL_1012193	0.001326422	2021.10684931507	66	1
EPI_ISL_1012251	0.001259603	2021.10684931507	65	1
EPI_ISL_1012275	0.001292985	2021.10410958904	59	1
