genome	path	time	node
AY274119_HuCoV_TOR2_2003.29	0.0009303277	2003.29	10
AY278487_HuCoV_BJ02_2003.21	0.0012605349	2003.21	5
AY278488_HuCoV_BJ01_2003.21	0.0009226885	2003.21	6
AY278489_HuCoV_GD01_2003.21	0.0011943611	2003.21	1
AY278490_HuCoV_BJ03_2003.21	0.0012612448	2003.21	6
AY278491_HuCoV_HKU-39849_2003.21	0.0011707105	2003.21	13
AY278554_HuCoV_CUHK-W1_2003.21	0.0007521729	2003.21	2
AY278741_HuCoV_Urbani_2003.21	0.0010356167	2003.21	12
AY279354_HuCoV_BJ04_2003.21	0.0011574369	2003.21	4
AY282752_HuCoV_CUHK-Su10_2003.21	0.0009280588	2003.21	10
AY283794_HuCoV_Sin2500_2003.13	0.000932097	2003.13	12
AY283795_HuCoV_Sin2677_2003.21	0.0009700078	2003.21	14
AY283796_HuCoV_Sin2679_2003.21	0.0009280588	2003.21	10
AY283797_HuCoV_Sin2748_2003.21	0.0009025175	2003.21	13
AY283798_HuCoV_Sin2774_2003.21	0.0010036442	2003.21	15
AY291315_HuCoV_Frankfurt1_2003.21	0.0011070719	2003.21	15
AY297028_HuCoV_ZJ01_2003.21	0.0014318542	2003.21	9
AY304495_HuCoV_GZ50_2003.13	0.0009546425	2003.13	4
AY313906_HuCoV_GD69_2003.37	0.0015762214	2003.37	14
AY321118_HuCoV_TWC_2003.21	0.0009361352	2003.21	14
AY323977_HuCoV_HSR_1_2003.29	0.0008648616	2003.29	10
AY338174_HuCoV_TC1_2003.21	0.0010015967	2003.21	14
AY345987_HuCoV_CUHK-AG02_2003.21	0.0009659599	2003.21	11
AY345988_HuCoV_CUHK-AG03_2003.21	0.0010334471	2003.21	13
AY390556_HuCoV_GZ02_2003.13	0.0004654109	2003.13	1
AY394850_HuCoV_WHU_2003.21	0.0013732347	2003.21	14
AY394978_HuCoV_GZ-B_2003.21	0.000958164	2003.21	8
AY394979_HuCoV_GZ-C_2003.21	0.0013312669	2003.21	8
AY394999_HuCoV_LC2_2003.37	0.0009910613	2003.37	6
AY395001_HuCoV_LC4_2003.37	0.0009595646	2003.37	7
AY395002_HuCoV_LC5_2003.37	0.0009891441	2003.37	7
AY427439_HuCoV_AS_2003.21	0.0008608234	2003.21	8
AY502923_HuCoV_TW10_2003.37	0.0010690813	2003.37	15
AY502924_HuCoV_TW11_2003.37	0.0011684741	2003.37	14
AY502925_HuCoV_TW2_2003.21	0.0008944411	2003.21	8
AY502926_HuCoV_TW3_2003.21	0.0009260397	2003.21	9
AY502927_HuCoV_TW4_2003.21	0.0009260397	2003.21	9
AY502928_HuCoV_TW5_2003.21	0.0008964602	2003.21	10
AY502930_HuCoV_TW7_2003.29	0.0009995776	2003.29	13
AY502931_HuCoV_TW8_2003.29	0.0009619217	2003.29	10
AY502932_HuCoV_TW9_2003.37	0.0010374827	2003.37	15
AY559081_HuCoV_Sin842_2003.29	0.0009975672	2003.29	12
AY559082_HuCoV_Sin852_2003.29	0.0012380819	2003.29	18
AY559084_HuCoV_Sin3765V_2003.29	0.0011723157	2003.29	18
AY559085_HuCoV_Sin848_2003.29	0.001235787	2003.29	16
AY559086_HuCoV_Sin849_2003.29	0.0010016054	2003.29	14
AY559087_HuCoV_Sin3725V_2003.29	0.0010036245	2003.29	15
AY559093_HuCoV_Sin845_2003.29	0.0012040575	2003.29	17
AY559094_HuCoV_Sin846_2003.21	0.0010976538	2003.21	11
AY559096_HuCoV_Sin850_2003.29	0.0010988238	2003.29	13
AY568539_HuCoV_GZ0401_2003.96	0.0029828861	2003.96	2
AY613947_HuCoV_GZ0402_2004.04	0.0033794092	2004.04	2
AY714217_HuCoV_CDC200301157_2003.21	0.0009303206	2003.21	10
