genome	path	time	node	continent
EPI_ISL_406531	0.000100231	2020.05737704918	19	Asia
EPI_ISL_408478	0.000166944	2020.05464480874	13	Asia
EPI_ISL_410546	0.000100219	2020.08196721311	23	Europe
EPI_ISL_411060	0.000100244	2020.05464480874	15	Asia
EPI_ISL_411218	0.000133535	2020.08743169399	17	Europe
EPI_ISL_412872	6.6871e-05	2020.08469945355	20	Asia
EPI_ISL_413523	0.000133468	2020.08196721311	1	Asia
EPI_ISL_413572	0.000311832	2020.16393442623	70	Europe
EPI_ISL_413603	0.000166979	2020.1693989071	28	Europe
EPI_ISL_413623	0.000109907	2020.14754098361	20	North America
EPI_ISL_413856	6.6919e-05	2020.10109289617	6	Asia
EPI_ISL_413861	0.000133516	2020.08469945355	10	Asia
EPI_ISL_413867	1.5e-08	2020.0956284153	2	Asia
EPI_ISL_413925	0.000267155	2020.17486338798	29	North America
EPI_ISL_414008	0.000233746	2020.15573770492	29	Europe
EPI_ISL_414009	0.000167021	2020.15027322404	31	Europe
EPI_ISL_414428	0.0002338	2020.16666666667	41	Europe
EPI_ISL_414469	0.000334075	2020.17213114754	69	Europe
EPI_ISL_414528	0.000200369	2020.10928961749	28	Asia
EPI_ISL_414529	0.000182018	2020.17213114754	40	Europe
EPI_ISL_414530	0.000300591	2020.17213114754	55	Europe
EPI_ISL_414556	0.00036766	2020.17759562842	68	Europe
EPI_ISL_414558	0.000300541	2020.17759562842	29	Europe
EPI_ISL_414571	0.000100194	2020.14207650273	16	Asia
EPI_ISL_414579	0.000166933	2020.1693989071	18	South America
EPI_ISL_414587	0.000200422	2020.1693989071	40	Europe
EPI_ISL_414598	0.000166938	2020.17486338798	17	Europe
EPI_ISL_414600	0.00020029	2020.15300546448	16	Europe
EPI_ISL_414625	0.0003452	2020.15300546448	70	Europe
EPI_ISL_414635	0.000345127	2020.17213114754	61	Europe
EPI_ISL_415136	0.000267621	2020.16120218579	38	Europe
EPI_ISL_415459	0.000334051	2020.16120218579	64	Europe
EPI_ISL_415473	0.000267202	2020.18579234973	44	Europe
EPI_ISL_415479	0.000133651	2020.18306010929	25	Europe
EPI_ISL_415582	0.00033381	2020.17213114754	30	North America
